id,bang_1,bang_2,bang_3,bang_4,bang_5,bang_6,bang_7,bang_8,bang_9,bang_10,bang_11,bang_12,bang_13,bang_14,bang_15,bang_16,bang_17,bang_18
1,1,1,1,6,7,7,5,4,5,6,6,6,1,1,1,3,4,4
2,7,6,7,7,2,4,7,7,7,1,1,1,7,7,7,1,1,1
3,2,1,3,5,6,5,3,1,2,2,5,4,1,1,1,7,6,7
4,7,7,7,2,5,3,7,6,6,1,1,4,4,5,6,1,1,1
5,2,2,2,2,2,3,6,6,6,3,3,4,6,5,6,7,2,5
6,4,3,4,3,3,3,4,3,4,4,3,4,4,3,3,3,3,3
7,7,7,7,3,4,2,1,2,1,1,2,4,1,1,1,1,1,1
8,3,4,3,5,4,4,4,5,5,4,4,4,5,3,5,3,2,3
9,6,7,6,4,2,3,4,6,7,1,3,3,3,4,4,1,6,4
10,5,4,6,4,4,5,4,5,5,5,5,5,6,5,5,5,6,6
11,5,5,3,4,5,3,5,5,5,5,4,4,3,5,6,2,3,5
12,7,6,7,1,3,1,6,6,6,3,1,2,6,5,6,1,1,2
13,5,5,6,3,6,6,5,6,4,5,3,6,6,6,6,4,3,6
14,7,6,6,2,1,2,6,7,7,1,2,2,4,4,5,1,2,4
15,7,7,7,1,2,2,6,6,5,1,2,2,1,1,2,1,1,1
16,5,5,5,1,1,1,7,4,4,2,1,2,6,6,7,1,1,1
17,5,5,4,7,5,3,4,4,5,3,5,4,5,5,6,4,4,5
18,7,7,6,1,1,4,7,7,7,1,5,1,3,7,4,5,1,5
19,7,7,7,1,1,1,7,4,7,5,1,1,1,1,6,7,2,6
20,7,7,6,3,3,4,7,6,6,3,3,3,5,5,6,2,1,3
21,7,7,7,1,2,2,6,7,7,1,3,3,4,4,1,1,1,1
22,6,5,5,4,5,5,4,4,4,2,4,5,2,3,3,4,3,4
23,4,4,5,6,5,5,5,2,2,6,3,7,6,5,2,2,3,5
24,3,4,5,3,3,3,3,7,6,5,4,4,3,3,4,6,5,5
25,6,6,6,3,4,2,6,6,6,2,1,2,6,6,6,5,1,4
26,3,1,2,5,5,5,2,1,1,2,6,2,1,2,1,7,2,2
27,6,7,7,5,2,6,5,6,5,6,5,5,5,5,6,2,6,2
28,1,1,1,7,7,1,7,3,2,1,1,1,1,1,1,4,4,2
29,6,6,5,1,2,1,6,7,7,2,2,2,1,2,1,5,1,5
30,6,4,4,4,5,5,5,6,4,6,6,6,5,4,4,7,4,5
31,6,6,6,1,2,1,6,5,5,2,1,2,3,4,4,1,1,1
32,5,5,5,3,4,6,5,5,5,5,5,5,3,3,3,6,4,5
33,2,2,2,5,5,6,1,5,5,5,5,4,5,1,5,1,2,2
34,6,6,6,1,1,1,5,6,6,1,1,1,4,4,4,1,1,1
35,5,5,5,4,4,5,5,7,6,5,5,5,5,5,6,4,4,4
36,6,6,6,1,2,2,6,6,6,3,6,5,2,1,5,1,1,1
37,5,5,5,5,4,4,3,1,4,6,5,7,4,1,1,5,5,5
38,2,2,3,6,7,7,5,2,1,1,1,5,1,1,1,7,2,2
39,7,7,7,3,2,2,6,6,5,2,3,3,2,2,3,1,2,1
40,6,7,5,3,1,5,7,7,6,2,2,2,6,6,6,2,2,5
41,7,7,4,1,2,3,6,6,5,2,2,3,6,6,4,1,1,1
42,7,7,7,1,4,7,6,6,6,3,5,2,6,7,2,5,2,1
43,6,6,6,2,4,5,4,3,5,6,5,7,4,5,4,5,1,4
44,6,6,5,1,2,6,6,6,5,5,5,5,5,3,6,1,1,2
45,6,5,3,5,5,5,1,4,2,3,4,7,2,4,2,7,5,6
46,6,5,5,5,4,3,6,5,5,2,2,3,5,5,2,5,4,2
47,5,5,2,4,1,5,4,6,7,2,5,5,2,1,3,4,4,2
48,5,5,5,3,4,5,4,5,5,5,2,5,6,5,4,7,5,5
49,4,5,4,5,5,5,5,5,6,5,6,6,2,6,2,6,5,5
50,5,2,3,6,5,6,3,5,5,1,5,3,2,1,1,1,6,1
51,2,3,3,6,6,5,5,5,2,5,2,5,3,2,2,5,6,4
52,2,1,1,5,5,5,1,5,3,1,1,3,1,1,5,1,3,1
53,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
54,3,4,5,5,5,7,5,5,5,1,3,2,5,4,3,1,1,1
55,6,6,6,2,6,4,2,2,2,2,5,2,4,2,2,1,4,1
56,4,5,5,4,4,4,5,4,4,4,4,5,4,4,4,4,4,3
57,2,3,3,4,3,4,5,5,3,3,4,2,2,2,3,2,3,2
58,6,4,5,6,5,6,1,1,1,7,7,7,1,2,1,6,7,5
59,1,1,1,1,2,6,2,2,2,3,7,7,5,3,3,1,2,2
60,5,5,5,2,5,4,6,5,6,1,3,2,1,4,5,2,2,2
61,1,3,5,5,6,2,3,2,2,6,6,5,1,1,1,1,1,1
62,7,6,6,2,2,5,6,6,7,3,2,4,6,6,7,2,2,2
63,5,3,5,3,7,5,3,3,3,2,3,1,3,2,2,6,2,5
64,6,6,5,1,4,5,5,3,5,2,3,2,2,4,1,1,1,4
65,5,5,5,7,5,3,3,3,2,3,7,5,4,5,4,1,1,1
66,5,5,5,5,6,6,5,5,5,5,5,6,6,2,4,4,3,2
67,5,5,5,3,4,2,5,5,5,1,3,3,5,5,5,1,1,1
68,5,5,5,4,5,5,5,5,5,6,5,6,4,4,3,2,3,2
69,3,3,3,5,3,5,4,2,2,3,4,3,1,5,2,4,5,4
70,4,2,3,6,7,5,5,3,1,2,5,3,2,3,4,2,2,2
71,3,3,3,2,3,4,6,6,5,2,6,5,7,5,4,7,5,6
72,7,7,3,7,6,7,7,6,7,1,1,1,4,4,4,1,4,4
73,5,5,5,5,5,4,6,5,5,3,3,5,5,5,2,6,4,5
74,7,5,4,1,5,1,5,5,5,3,1,1,1,1,1,1,1,1
75,7,6,6,1,1,2,6,6,6,1,1,1,4,4,4,1,4,4
76,5,4,4,5,7,5,3,3,3,5,6,6,2,2,3,7,4,6
77,6,6,6,2,3,2,6,7,6,2,2,3,2,2,4,2,2,4
78,2,1,2,3,7,7,1,1,1,7,7,7,4,1,1,6,7,4
79,5,6,5,4,4,4,3,2,5,4,3,3,2,2,4,4,3,4
80,1,1,1,7,7,5,2,1,1,5,2,5,2,1,6,1,3,5
81,2,3,2,6,5,5,5,5,5,7,6,6,2,3,2,1,2,4
82,5,6,5,5,7,7,5,5,1,2,4,2,2,4,1,5,3,3
83,4,7,5,6,5,7,6,6,7,5,4,7,2,2,3,7,3,7
84,2,2,2,6,7,7,1,2,2,6,7,6,1,1,1,4,1,1
85,2,3,3,5,6,5,6,6,4,3,5,3,3,2,5,2,3,2
86,6,6,6,3,6,4,6,5,5,5,5,3,7,6,5,6,4,6
87,5,6,5,3,2,3,5,6,5,3,4,2,5,6,5,2,2,2
88,3,4,3,5,3,4,4,3,5,4,3,4,4,3,3,3,4,4
89,6,5,6,6,6,5,6,5,6,6,3,6,7,6,5,5,2,5
90,5,5,5,1,6,6,4,2,1,3,1,3,1,1,1,1,1,1
