study,age,gender,condition,recallText,possibleCareless,af01,af02,af03,af04,af05,af06,af07,af08,af09,af10,af11,af12,af13,af14,af15,af16,as01,as02,as03,as04,as05,as06,as07,as08,as09,as10,as11,as12,as13,as14,as15,cf01,cf02,cf03,cf04,cf05,cf06,cf07,cf08,cf09,cf10,cf11,cf12,cf13,cf14,cf15,cf16,cs01,cs02,cs03,cs04,cs05,cs06,cs07,cs08,cs09,cs10,cs11,cs12,cs13,cs14,cs15,rf01,rf02,rf03,rf04,rf05,rf06,rf07,rf08,rf09,rf10,rf11,rf12,rf13,rf14,rf15,rs01,rs02,rs03,rs04,rs05,rs06,rs07,rs08,rs09,rs10,rs11,rs12,rs13,rs14,rs15,randomID,wave,playtimeNext2Weeks,game,umi_1,umi_2,umi_3,pxi_1,pxi_2,pxi_3,pxi_4,pxi_5,pxi_6,bpnsfs_1,bpnsfs_2,bpnsfs_3,bpnsfs_4,bpnsfs_5,bpnsfs_6,bpnsfs_7,bpnsfs_8,bpnsfs_9,bpnsfs_10,bpnsfs_11,bpnsfs_12,bpnsfs_13,bpnsfs_14,bpnsfs_15,bpnsfs_16,bpnsfs_17,bpnsfs_18,bpnsfs_19,bpnsfs_20,bpnsfs_21,bpnsfs_22,bpnsfs_23,bpnsfs_24
study1efa,19,Woman,negative experience,"My friend showed me a rythm game called OSU - it required quick reflexes, everything was happening to fast and i got overwhelmed very quickly",FALSE,6,6,7,7,5,5,6,5,6,7,7,6,6,7,7,7,1,1,2,1,1,1,6,6,1,1,3,1,1,1,1,6,5,7,7,6,7,6,7,6,5,6,7,6,7,7,7,2,4,5,1,1,5,2,1,1,1,2,4,5,5,1,6,5,7,5,4,1,3,4,4,6,4,7,4,5,4,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,34,Woman,positive experience,It have a lot of things to be done but it wasn't to difficult. The progress and little acheiments are fluid and not frustrating.,FALSE,7,1,1,4,5,1,1,5,7,1,1,1,4,1,4,2,6,6,5,7,7,7,7,7,7,4,7,4,4,4,7,1,5,1,1,1,5,2,4,1,1,1,1,1,1,2,1,7,7,1,7,4,7,7,6,7,5,5,6,7,7,4,5,4,1,1,1,1,1,1,4,1,1,4,1,1,1,7,7,7,7,7,7,5,4,7,7,1,6,7,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,23,Man,negative experience,"I played counterstrike. There was a lot of trolls in my match that were not focused on playing the game to win but to make my gameplay worse. They shot at me, they were blocking my way etc. One of the guys on the opposite team was a cheater so the opposite team won the match. The game creators (Valve) did not block the cheater during the game so he cheated during the whole game.",FALSE,5,5,5,5,5,7,6,5,2,4,5,5,5,5,5,6,1,3,3,2,3,2,3,3,3,2,3,2,2,1,2,2,6,2,5,5,6,5,5,4,7,2,3,5,6,6,5,2,1,2,2,2,2,2,2,2,4,2,2,3,3,2,7,6,5,7,6,6,7,7,7,6,7,6,6,5,6,2,1,1,1,1,2,1,1,2,1,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,27,Non-binary/prefer not to say,positive experience,"I've been playing Spiritfarer for a few days now and I'm enjoying it so so much. The story and the art are so charming, I love the characters and the concept too. I like finding out more about each character's past, and the whole plot around the protagonist. It makes me feel comfortable and keeps me busy and focused on the little tasks. It's definitely a story-heavy game, but that's just my kind of game.",FALSE,2,1,1,3,6,1,1,6,5,2,3,2,2,1,1,5,7,7,5,5,7,7,5,4,6,5,7,4,4,4,7,1,1,1,2,1,2,1,5,4,2,1,1,3,2,2,2,7,6,3,4,6,6,6,5,6,6,6,5,7,7,4,4,7,1,1,1,2,1,1,1,1,1,1,1,5,1,7,4,6,7,4,4,5,6,5,5,6,3,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,20,Man,negative experience,"I was playing online game and I had terrible network issues. Because of that, my gaming experience was horrible, and so I was losing because of it. I felt anger.",FALSE,2,1,1,3,5,2,2,2,5,1,2,2,4,2,1,2,2,6,5,6,2,2,7,7,5,1,5,6,7,5,5,3,1,2,2,3,7,7,7,4,1,1,3,1,3,2,2,5,6,4,6,7,6,3,6,3,5,3,6,6,6,6,2,3,1,2,2,1,7,5,5,2,5,2,1,1,5,5,7,6,7,6,5,6,2,6,6,5,6,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,22,Man,negative experience,don't remember the name but know that it was to hard to play,TRUE,3,4,4,3,4,3,4,4,4,4,3,3,3,4,3,3,3,4,4,4,4,4,4,3,4,3,3,3,4,3,3,4,3,4,3,3,4,4,5,4,3,3,3,3,3,4,4,4,3,3,3,4,4,4,3,4,4,3,4,4,3,4,4,4,3,4,3,4,3,3,3,4,4,3,4,4,4,4,4,3,4,4,4,3,5,4,3,4,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,20,Woman,positive experience,"Hokko Life, I was just trying to get decorations but the computer wasn't spawning so that made me a bit annoyed.",TRUE,3,3,1,2,4,1,1,1,1,5,1,1,1,2,3,4,7,7,5,7,7,7,1,1,7,1,5,1,4,5,5,1,1,1,1,2,1,1,1,4,1,1,1,1,2,5,1,3,2,1,3,4,1,5,3,5,4,5,1,1,4,3,1,1,1,1,1,4,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,41,Man,positive experience,Recently I played in New world. It was quite fun. something new for me,TRUE,5,4,3,4,5,4,5,4,6,2,4,3,3,3,5,4,4,5,3,3,3,3,4,5,3,4,5,3,5,6,3,4,4,4,2,4,4,2,3,4,5,3,3,3,4,4,2,4,5,4,3,4,5,3,4,5,5,6,3,4,4,3,4,5,2,4,2,4,3,3,2,4,3,4,3,3,3,4,3,5,5,5,4,4,5,5,4,5,5,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,21,Man,positive experience,"Pc Building Simulator
This game represents everything I wanna do in the future and it really helps me understand everything about computers, how to build them, how they work and its what I'm studying in college right now. It really makes me feel good about myself",TRUE,4,3,2,3,6,6,2,6,6,3,4,2,6,5,5,2,7,2,2,5,6,6,6,6,5,6,5,6,4,7,6,1,6,4,3,3,6,1,1,3,3,4,1,2,5,2,6,3,6,4,7,7,7,6,5,7,5,6,6,4,7,2,5,5,5,5,6,5,1,4,4,6,6,1,6,1,1,6,4,4,6,3,1,5,6,6,3,6,3,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
study1efa,25,Man,negative experience,"valorant, because i dont like to play soloq. I would play with friends",TRUE,4,5,6,5,4,4,5,5,6,4,4,6,4,4,5,4,4,5,5,6,6,5,4,6,5,4,5,3,4,4,6,5,5,4,5,5,5,5,6,5,2,5,4,4,5,5,3,5,5,6,5,6,5,6,5,5,6,6,3,4,5,4,5,6,4,6,6,5,5,6,5,6,6,5,6,6,4,5,4,5,4,6,5,5,5,4,5,6,6,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
