StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,age,gender,gender_5_TEXT,country,recall-pos-text,recall-neg-text,bang-1_1,bang-1_2,bang-1_3,bang-1_4,bang-1_5,bang-1_6,bang-1_7,bang-1_8,bang-1_9,bang-1_10,bang-1_11,bang-1_12,bang-1_13,bang-1_14,bang-1_15,bang-1_16,bang-1_17,bang-1_18,bang-1_19,bang-1_20,bang-1_21,bang-1_22,bang-1_23,bang-2 _1,bang-2 _2,bang-2 _3,bang-2 _4,bang-2 _5,bang-2 _6,bang-2 _7,bang-2 _8,bang-2 _9,bang-2 _10,bang-2 _11,bang-2 _12,bang-2 _13,bang-2 _14,bang-2 _15,bang-2 _16,bang-2 _17,bang-2 _18,bang-2 _19,bang-2 _20,bang-2 _21,bang-2 _22,bang-2 _23,bang-3_1,bang-3_2,bang-3_3,bang-3_4,bang-3_5,bang-3_6,bang-3_7,bang-3_8,bang-3_9,bang-3_10,bang-3_11,bang-3_12,bang-3_13,bang-3_14,bang-3_15,bang-3_16,bang-3_17,bang-3_18,bang-3_19,bang-3_20,bang-3_21,bang-3_22,bang-3_23,bang-4_1,bang-4_2,bang-4_3,bang-4_4,bang-4_5,bang-4_6,bang-4_7,bang-4_8,bang-4_9,bang-4_10,bang-4_11,bang-4_12,bang-4_13,bang-4_14,bang-4_15,bang-4_16,bang-4_17,bang-4_18,bang-4_19,bang-4_20,bang-4_21,bang-4_22,bang-4_23,bang-4_24,bang-4_25,trust,trust_3_TEXT,PROLIFIC_PID,Create New Field or Choose From Dropdown...
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Research study: Measuring positive and negative experiences in video game play



Research team: This study is run by researchers at Queen Mary University of London, University of York, Australian Catholic University, and Imperial College London: 

- Nick Ballou (n.b.ballou@qmul.ac.uk)

- Dr Alena Denisova (alena.denisova@york.ac.uk)

- Prof Richard Ryan (Richard.Ryan@acu.edu.au)

- Prof Sebastian Deterding (s.deterding@imperial.ac.uk)

 

Queen Mary Ethics of Research Committee Reference: QMERC20.565.DSEECS22.117

___________________________________________________________



Thank you for considering taking part in this study. Please take a moment to read the following. The participant compensation in this study accounts for the time required to review this information, so no need to rush.

 

Participation in this study is entirely optional. If you choose not to take part, simply close this page and there will be with no disadvantages and you will hear no more about it.

 

Study aim: We want to develop a new questionnaire for measuring positive and negative video gaming experiences.

 

Who can participate: To participate, you need to be:

- an active video game player (≥ 1 hour of gaming during an average week)  

- 18+ years old

- proficient in English

 

What to expect: You will be asked to recall a recent gaming experience, and then will rate a series of 92 statements on a scale from ""strongly disagree"" to ""strongly agree"" with reference to that experience. 

 

Because we are trialing many potential statements, some of them may be repetitive. We ask that if you choose to participate, you give your full attention to each of them.

 

In total, the study will take approximately 10 minutes.

 

Risks: Participating in this study is not expected to have any disadvantages, risks, or discomfort.

 

Confidentiality: We do not collect any personally identifying data. 

 

How we will use your data: Your data will be used in research publications and/or conference presentations. Your data, which is non-identifying, will be stored indefinitely on the Open Science Framework, so that the data underlying the conclusions of any published work will remain available for inspection.

 

Legal basis: We will process your personal data for research purposes under Article 6 (1) (e) of the General Data Protection Regulation (GDPR): Processing is necessary for the performance of a task carried out in the public interest.

 

Your rights to your data: Under the GDPR, you have a general right of access to your data, a right to rectification, erasure, restriction, objection or portability. You also have a right to withdrawal.

 

Withdrawal: You are free to withdraw within 1 month of data collection without any penalty or consequences. To do so, simply email the researcher with your Prolific ID. Your data will then be removed from the study. After 1 month, data will be publicly shared and withdrawal will no longer be possible. 

 

Contact information: If you would like additional information about the study, or wish to remove your data after the study has ended, please contact the lead researcher Nick Ballou (n.b.ballou@qmul.ac.uk). If this is unsuccessful or not appropriate, please contact the Queen Mary Ethics of Research Committee: research-ethics@qmul.ac.uk.",How old are you?,What is your gender? - Selected Choice,What is your gender? - Prefer to specify - Text,List of Countries,"Please take a moment to think carefully about the most recent time you played a video game you enjoyed. What game was it? What happened in the game? How did you feel while playing it?
 

In the box below, please describe that experience in a few sentences.","Please take a moment to think carefully about the most recent time you played a video game that you didn't enjoy. What game was it? What happened in the game? How did you feel while playing it?
 

In the box below, please describe that experience in a few sentences.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I had doubts about being able to do things well in the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I could develop or apply different strategies when I wanted.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt helpless when playing the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I often felt that I lacked the skills necessary for the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - Engaging with the game, I felt rejected.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I consider the relationships I developed in the game meaningful.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - Engaging in the game, I feel a sense of being controlled.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I was improving at the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt left out from a group while playing.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt like the game was too difficult for me.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - It was a difficult game to connect with others.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I experienced a sense of toxicity in the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - Playing the game provided experiences I really value.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt I could exercise my capabilities while playing.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt an inner conflict over engaging in the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I had the agency to decide how I wanted to play.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt that my actions in the game were effective.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I cared about what happened to other players and/or characters.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt my actions had meaningful impact within the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I routinely felt uninterested in what happened to other players or characters in the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I could direct my own play experience.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I could play the game in the way I wanted.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I could make choices regarding how to play the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I consider the relationships I formed in the game fulfilling.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I did not understand how to play the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - The game didn’t inspire any sense of mission or purpose.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - Playing this game, I often felt stuck.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - The game often required too much effort for certain goals.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt that I was able to achieve what I wanted in the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I could put myself in other characters' shoes.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - Engaging with the game, I felt disconnected from others.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt satisfying relationships in engaging with this game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I consider the relationships I developed in the game valuable.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - Playing the game felt like something that is authentically 'me'.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt that the game put me in impossible situations.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt that I belong.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt I was getting better at playing the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - Engaging with the game, I felt a connection to others, virtual or real.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I was not able to use my skills how I wanted.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt that I could not play the game the way I wanted.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I was able to choose how I explored the game environment.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I found the community in and around the game off-putting.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt like I wasn't ever going to get better at the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt I formed relationships with other players and/or characters.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt like I had to keep playing the game even though I did not want to.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt distance between myself and other players in the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - While playing, I noticed players and/or characters with traits I want to emulate.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - A lot of my in-game activities felt like things I had to do.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt its too difficult to make progress in the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - Others in the game were unfriendly towards me.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt a sense of connection with other players and/or characters.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt that some situations in the game were unfair.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - There were too many obstacles in the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - At times, I found myself playing the game despite not really wanting to.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt disappointed with my performance in the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - The game let me stretch my abilities.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt like I was being pushed through the game in a predetermined direction.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - The choices in the game felt like meaningful ones.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt capable while playing the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt a sense of growth when playing the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I kept failing to accomplish tasks I wanted to while playing.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I often found myself wishing I could do something else within the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt an inner conflict over the things I did in the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt my ability to play this game was growing.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt alienated from others.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt incompetent while playing the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - Engaging with the game, I felt I was bonding with others.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - Many actions in the game were routine and boring.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt the things I do in this game flow from me.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I was able to fully use my abilities.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt disconnected from the game's characters and world.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt a sense of freedom when playing the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt alone while playing.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt that I was constrained in how I could play the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt like part of a community.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt that I made progress while playing.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I could choose different strategies or actions to use in the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - When playing, I felt understood by others.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I stand behind the game and the things players do in it.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt that other players and/or characters in the game cared about me.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - My actions in the game had little or no impact.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - It feels like the things I did in the game, I did out of external pressure.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - Engaging with the game, I felt excluded.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - The community or virtual world in the game made me feel unwelcome.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt forced to take certain actions in the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I disliked some of the other players.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt a sense of mastery while playing.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I could pursue activities in the game that really interest me.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt pressured to progress through the game at a certain speed.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt a sense of achievement while playing.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - Playing this game and doing things in it felt like something I wanted to do.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I was good at playing the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I had doubts about being able to do things well in the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I could develop or apply different strategies when I wanted.",Do you think your responses are trustworthy and that we should include them in our analysis? Your answer to this question will not affect compensation. - Selected Choice,Do you think your responses are trustworthy and that we should include them in our analysis? Your answer to this question will not affect compensation. - Other - Text,PROLIFIC_PID,Create New Field or Choose From Dropdown...
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_5_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_28""}","{""ImportId"":""QID10_29""}","{""ImportId"":""QID10_30""}","{""ImportId"":""QID10_31""}","{""ImportId"":""QID10_32""}","{""ImportId"":""QID10_33""}","{""ImportId"":""QID10_34""}","{""ImportId"":""QID10_35""}","{""ImportId"":""QID10_36""}","{""ImportId"":""QID10_37""}","{""ImportId"":""QID10_38""}","{""ImportId"":""QID10_39""}","{""ImportId"":""QID10_40""}","{""ImportId"":""QID10_41""}","{""ImportId"":""QID10_42""}","{""ImportId"":""QID10_43""}","{""ImportId"":""QID10_44""}","{""ImportId"":""QID10_45""}","{""ImportId"":""QID10_46""}","{""ImportId"":""QID10_47""}","{""ImportId"":""QID10_48""}","{""ImportId"":""QID10_49""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_28""}","{""ImportId"":""QID11_29""}","{""ImportId"":""QID11_30""}","{""ImportId"":""QID11_31""}","{""ImportId"":""QID11_32""}","{""ImportId"":""QID11_33""}","{""ImportId"":""QID11_34""}","{""ImportId"":""QID11_35""}","{""ImportId"":""QID11_36""}","{""ImportId"":""QID11_37""}","{""ImportId"":""QID11_38""}","{""ImportId"":""QID11_39""}","{""ImportId"":""QID11_40""}","{""ImportId"":""QID11_41""}","{""ImportId"":""QID11_42""}","{""ImportId"":""QID11_43""}","{""ImportId"":""QID11_44""}","{""ImportId"":""QID11_45""}","{""ImportId"":""QID11_46""}","{""ImportId"":""QID11_47""}","{""ImportId"":""QID11_48""}","{""ImportId"":""QID11_49""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_28""}","{""ImportId"":""QID12_29""}","{""ImportId"":""QID12_30""}","{""ImportId"":""QID12_31""}","{""ImportId"":""QID12_32""}","{""ImportId"":""QID12_33""}","{""ImportId"":""QID12_34""}","{""ImportId"":""QID12_35""}","{""ImportId"":""QID12_36""}","{""ImportId"":""QID12_37""}","{""ImportId"":""QID12_38""}","{""ImportId"":""QID12_39""}","{""ImportId"":""QID12_40""}","{""ImportId"":""QID12_41""}","{""ImportId"":""QID12_42""}","{""ImportId"":""QID12_43""}","{""ImportId"":""QID12_44""}","{""ImportId"":""QID12_45""}","{""ImportId"":""QID12_46""}","{""ImportId"":""QID12_47""}","{""ImportId"":""QID12_48""}","{""ImportId"":""QID12_49""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_28""}","{""ImportId"":""QID13_29""}","{""ImportId"":""QID13_30""}","{""ImportId"":""QID13_31""}","{""ImportId"":""QID13_32""}","{""ImportId"":""QID13_33""}","{""ImportId"":""QID13_34""}","{""ImportId"":""QID13_35""}","{""ImportId"":""QID13_36""}","{""ImportId"":""QID13_37""}","{""ImportId"":""QID13_38""}","{""ImportId"":""QID13_39""}","{""ImportId"":""QID13_40""}","{""ImportId"":""QID13_41""}","{""ImportId"":""QID13_42""}","{""ImportId"":""QID13_43""}","{""ImportId"":""QID13_44""}","{""ImportId"":""QID13_45""}","{""ImportId"":""QID13_46""}","{""ImportId"":""QID13_47""}","{""ImportId"":""QID13_48""}","{""ImportId"":""QID13_49""}","{""ImportId"":""QID13_51""}","{""ImportId"":""QID13_50""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_3_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}"
2022-12-19 13:43:26,2022-12-19 13:44:09,1,100,43,1,2022-12-19 13:44:10,R_3KN2N97K4KNeHcT,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-19 13:46:49,2022-12-19 13:53:43,0,100,414,1,2022-12-19 13:53:44,R_UFpzkadJzqTj0DT,anonymous,EN,"1,2,3,4,5,6,7",19,2,,137,,"My friend showed me a rythm game called OSU - it required quick reflexes, everything was happening to fast and i got overwhelmed very quickly",7,6,6,6,4,1,6,5,4,7,7,3,1,1,6,1,1,1,1,1,1,1,1,2,6,7,6,7,1,1,5,1,1,1,5,1,5,1,5,5,1,5,7,1,7,6,1,5,7,4,4,7,7,6,6,1,5,1,2,2,6,7,7,4,5,7,1,7,1,2,7,1,6,6,1,4,6,1,1,1,7,7,4,4,6,4,5,2,6,5,3,1,6,5,1,,60ff4810b3853015b1ca7c56,
2022-12-19 13:46:58,2022-12-19 13:58:27,0,100,688,1,2022-12-19 13:58:27,R_3mgjT0Df3Ybn9JP,anonymous,EN,"1,2,3,4,5,6,7",34,2,,163,It have a lot of things to be done but it wasn't to difficult. The progress and little acheiments are fluid and not frustrating.,,4,7,2,1,1,4,1,7,1,1,4,1,7,7,4,7,7,7,4,1,7,6,7,7,1,1,1,1,6,7,1,7,7,4,5,1,7,7,1,1,7,4,1,7,1,5,7,5,1,1,7,5,1,1,1,4,5,4,7,7,1,4,1,6,1,1,5,2,4,5,1,6,1,1,6,7,7,5,4,7,2,4,1,1,7,4,1,5,7,7,7,5,2,7,1,,613c5c9300d4088d56204d89,
2022-12-19 13:46:53,2022-12-19 13:58:58,0,100,724,1,2022-12-19 13:58:58,R_VRaLLFXAExZEICJ,anonymous,EN,"1,2,3,4,5,6,7",23,1,,137,,"I played counterstrike. There was a lot of trolls in my match that were not focused on playing the game to win but to make my gameplay worse. They shot at me, they were blocking my way etc. One of the guys on the opposite team was a cheater so the opposite team won the match. The game creators (Valve) did not block the cheater during the game so he cheated during the whole game.",5,3,5,2,6,1,5,3,7,3,6,7,2,2,5,2,2,1,2,6,3,1,2,2,2,5,5,5,2,2,5,2,1,1,6,2,3,1,7,7,3,6,5,1,4,7,2,5,6,7,1,6,5,5,4,2,5,2,2,2,5,5,5,2,7,2,1,6,2,2,5,3,6,6,1,1,3,1,2,1,6,5,6,6,5,7,2,3,2,2,3,4,5,2,1,,5f120e2fe67ff7132e8676ca,
2022-12-19 13:46:46,2022-12-19 13:59:50,0,100,783,1,2022-12-19 13:59:50,R_BXjKnl5fwYyyCfT,anonymous,EN,"1,2,3,4,5,6,7",27,3,,138,"I've been playing Spiritfarer for a few days now and I'm enjoying it so so much. The story and the art are so charming, I love the characters and the concept too. I like finding out more about each character's past, and the whole plot around the protagonist. It makes me feel comfortable and keeps me busy and focused on the little tasks. It's definitely a story-heavy game, but that's just my kind of game. ",,5,5,1,1,1,6,2,7,1,1,1,1,7,4,2,5,6,7,6,2,7,7,7,5,1,1,3,3,5,7,5,4,5,4,1,6,7,5,2,1,6,7,2,4,2,4,4,6,2,1,4,2,2,1,4,4,6,5,6,7,1,3,1,5,1,1,5,5,4,6,1,7,1,1,3,6,4,5,4,6,2,1,1,1,2,1,3,5,5,6,7,6,5,4,1,,616c9718c50361a47cdf608d,
2022-12-19 13:56:16,2022-12-19 14:05:18,0,100,542,1,2022-12-19 14:05:18,R_1C2ur5ZNLs8ZhPw,anonymous,EN,"1,2,3,4,5,6,7",20,1,,137,,"I was playing online game and I had terrible network issues. Because of that, my gaming experience was horrible, and so I was losing because of it. I felt anger.",7,7,7,3,5,2,2,6,5,3,2,7,5,6,4,6,3,7,7,1,2,2,2,6,1,1,1,2,6,5,1,6,6,5,1,5,6,5,1,2,5,3,2,6,1,2,5,5,3,5,7,7,2,1,4,6,2,1,3,5,3,3,2,6,2,2,5,2,6,3,1,6,2,2,6,6,7,6,7,6,2,1,1,2,2,5,4,5,5,6,5,5,2,6,1,,6082d3fa014ae6c6c2fad293,
2022-12-19 14:25:58,2022-12-19 14:30:24,0,100,266,1,2022-12-19 14:30:25,R_3dVMdcRNLrndQD5,anonymous,EN,"1,2,3,4,5,6,7",22,1,,138,,don't remember the name but know that it was to hard to play,5,4,4,4,4,5,3,3,4,3,3,3,3,3,3,4,4,4,4,4,4,3,4,4,3,4,3,3,3,4,4,3,3,3,3,4,4,3,3,3,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,3,3,3,3,3,4,4,4,3,3,3,3,4,3,4,3,4,3,3,3,3,4,4,4,3,4,3,3,1,,60fd5bc629663dec819d54e3,
2022-12-19 14:26:30,2022-12-19 14:31:11,0,100,280,1,2022-12-19 14:31:11,R_aaV2q4FJeCcXKDL,anonymous,EN,"1,2,3,4,5,6,7",20,2,,122,"Hokko Life, I was just trying to get decorations but the computer wasn't spawning so that made me a bit annoyed.",,1,1,1,1,1,1,1,4,1,1,1,1,5,3,1,7,5,1,4,4,7,7,7,1,1,1,1,1,3,5,1,1,1,5,1,1,1,1,1,1,7,1,1,1,5,1,1,4,2,1,1,1,1,3,4,3,1,1,5,3,2,2,2,1,1,1,1,4,1,5,1,7,5,1,1,2,1,1,4,1,5,3,1,1,3,1,1,5,1,1,5,4,3,1,1,,610e732a3c98b01188806e7b,
