StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,age,gender,gender_5_TEXT,country,recall-pos-text,bang-1_1,bang-1_2,bang-1_3,bang-1_4,bang-1_5,bang-1_6,bang-1_7,bang-1_8,bang-1_9,bang-1_10,bang-1_11,bang-1_12,bang-1_13,bang-1_14,bang-1_15,bang-1_16,bang-1_17,bang-1_18,bang-1_19,bang-2_1,bang-2_2,bang-2_3,bang-2_4,bang-2_5,bang-2_6,bang-2_7,bang-2_8,bang-2_9,bang-2_10,bang-2_11,bang-2_12,bang-2_13,bang-2_14,bang-2_15,bang-2_16,bang-2_17,bang-2_18,bang-2_19,bang-3_1,bang-3_2,bang-3_3,bang-3_4,bang-3_5,bang-3_6,bang-3_7,bang-3_8,bang-3_9,bang-3_10,bang-3_11,bang-3_12,bang-3_13,bang-3_14,bang-3_15,bang-3_16,bang-3_17,bang-3_18,bang-3_19,bang-3_20,bang-4_1,bang-4_2,bang-4_3,bang-4_4,bang-4_5,bang-4_6,bang-4_7,bang-4_8,bang-4_9,bang-4_10,bang-4_11,bang-4_12,bang-4_13,bang-4_14,bang-4_15,bang-4_16,bang-4_17,bang-4_18,bang-4_19,bang-4_20,PROLIFIC_PID,Create New Field or Choose From Dropdown...
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Research study: Understanding Gaming Experiences



Research team: This study is run by researchers at Queen Mary University of London, University of York, Australian Catholic University, and Imperial College London: 

- Nick Ballou (n.b.ballou@qmul.ac.uk)

- Dr Alena Denisova (alena.denisova@york.ac.uk)

- Prof Richard Ryan (Richard.Ryan@acu.edu.au)

- Prof Sebastian Deterding (s.deterding@imperial.ac.uk)

 

Queen Mary Ethics of Research Committee Reference: QMERC20.565.DSEECS22.117

___________________________________________________________



Thank you for considering taking part in this study. Please take a moment to read the following. The participant compensation in this study accounts for the time required to review this information, so no need to rush.

 

Participation in this study is entirely optional. If you choose not to take part, simply close this page and there will be with no disadvantages and you will hear no more about it.

 

Study aim: We want to develop a new questionnaire for measuring positive and negative video gaming experiences.

 

Who can participate: To participate, you need to be:

- an active video game player (≥ 1 hour of gaming during an average week)  

- 18+ years old

- proficient in English

 

What to expect: You will be asked to recall a recent gaming experience, and then will rate a series of 76 statements on a scale from ""strongly disagree"" to ""strongly agree"" with reference to that experience. 

 

Because we are trialing many potential statements, some of them may be repetitive. We ask that if you choose to participate, you give your full attention to each of them.

 

In total, the study will take approximately 10 minutes.

 

Risks: Participating in this study is not expected to have any disadvantages, risks, or discomfort.

 

Confidentiality: We do not collect any personally identifying data. 

 

How we will use your data: Your data will be used in research publications and/or conference presentations. Your data, which is non-identifying, will be stored indefinitely on the Open Science Framework, so that the data underlying the conclusions of any published work will remain available for inspection.

 

Legal basis: We will process your personal data for research purposes under Article 6 (1) (e) of the General Data Protection Regulation (GDPR): Processing is necessary for the performance of a task carried out in the public interest.

 

Your rights to your data: Under the GDPR, you have a general right of access to your data, a right to rectification, erasure, restriction, objection or portability. You also have a right to withdrawal.

 

Withdrawal: You are free to withdraw within 1 month of data collection without any penalty or consequences. To do so, simply email the researcher with your Prolific ID. Your data will then be removed from the study. After 1 month, data will be publicly shared and withdrawal will no longer be possible. 

 

Contact information: If you would like additional information about the study, or wish to remove your data after the study has ended, please contact the lead researcher Nick Ballou (n.b.ballou@qmul.ac.uk). If this is unsuccessful or not appropriate, please contact the Queen Mary Ethics of Research Committee: research-ethics@qmul.ac.uk.",How old are you?,What is your gender? - Selected Choice,What is your gender? - Prefer to specify - Text,List of Countries,"Please take a moment to think carefully about the most recent time you played a video game for at least 20 minutes. What game was it? What happened in the game? How did you feel while playing it?
 

In the box below, please describe that experience in a few sentences.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I consider the relationships I developed in the game valuable.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I often felt that I lacked the skills necessary for the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - A lot of my in-game activities felt like things I had to do.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - Others in the game were unfriendly towards me.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt disappointed with my performance in the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt alienated from others.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt my ability to play this game was growing.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I consider the relationships I formed in the game fulfilling.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - The game didn’t inspire any sense of mission or purpose.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt helpless when playing the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - Many actions in the game were routine and boring.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I often found myself wishing I could do something else within the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I could choose different strategies or actions to use in the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt a sense of achievement while playing.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt forced to take certain actions in the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt distance between myself and other players in the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - There were too many obstacles in the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt a sense of growth when playing the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - My actions in the game had little or no impact.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt its too difficult to make progress in the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I cared about what happened to other players and/or characters.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt an inner conflict over the things I did in the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - Engaging with the game, I felt a connection to others, virtual or real.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - At times, I found myself playing the game despite not really wanting to.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt that I could not play the game the way I wanted.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt like the game was too difficult for me.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I was good at playing the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt capable while playing the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I stand behind the game and the things players do in it.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I was improving at the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I kept failing to accomplish tasks I wanted to while playing.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt that I made progress while playing.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - Playing this game, I often felt stuck.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I had the agency to decide how I wanted to play.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt I formed relationships with other players and/or characters.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I disliked some of the other players.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I could put myself in other characters' shoes.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt uninterested in what happened to other players or characters in the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt pressured to progress through the game at a certain speed.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - The community or virtual world in the game made me feel unwelcome.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - Playing the game felt like something that is authentically 'me'.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt like I had to keep playing the game even though I did not want to.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I experienced a sense of toxicity in the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt that I was constrained in how I could play the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I could make choices regarding how to play the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt my actions had meaningful impact within the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt like part of a community.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt a sense of mastery while playing.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - It feels like the things I did in the game, I did out of external pressure.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I had doubts about being able to do things well in the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt that my actions in the game were effective.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt I was getting better at playing the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I was able to fully use my abilities.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I could direct my own play experience.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - Engaging with the game, I felt disconnected from others.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt that I was able to achieve what I wanted in the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt incompetent while playing the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I consider the relationships I developed in the game valuable.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - Playing this game and doing things in it felt like something I wanted to do.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I was able to choose how I explored the game environment.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt that the game put me in impossible situations.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt that some situations in the game were unfair.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt that other players and/or characters in the game cared about me.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I could develop or apply different strategies when I wanted.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I could play the game in the way I wanted.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt like I was being pushed through the game in a predetermined direction.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt an inner conflict over engaging in the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt a sense of connection with other players and/or characters.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - The game often required too much effort for certain goals.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I consider the relationships I developed in the game meaningful.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - Playing the game provided experiences I really value.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - Engaging with the game, I felt I was bonding with others.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I found the community in and around the game off-putting.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - The choices in the game felt like meaningful ones.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt I could exercise my capabilities while playing.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt like I wasn't ever going to get better at the game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I felt satisfying relationships in engaging with this game.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in the game. - I often felt that I lacked the skills necessary for the game.",PROLIFIC_PID,Create New Field or Choose From Dropdown...
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_5_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_50""}","{""ImportId"":""QID10_51""}","{""ImportId"":""QID10_52""}","{""ImportId"":""QID10_53""}","{""ImportId"":""QID10_54""}","{""ImportId"":""QID10_55""}","{""ImportId"":""QID10_56""}","{""ImportId"":""QID10_57""}","{""ImportId"":""QID10_58""}","{""ImportId"":""QID10_59""}","{""ImportId"":""QID10_60""}","{""ImportId"":""QID10_61""}","{""ImportId"":""QID10_62""}","{""ImportId"":""QID10_63""}","{""ImportId"":""QID10_64""}","{""ImportId"":""QID10_65""}","{""ImportId"":""QID10_66""}","{""ImportId"":""QID10_67""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_68""}","{""ImportId"":""QID16_69""}","{""ImportId"":""QID16_70""}","{""ImportId"":""QID16_71""}","{""ImportId"":""QID16_72""}","{""ImportId"":""QID16_73""}","{""ImportId"":""QID16_74""}","{""ImportId"":""QID16_75""}","{""ImportId"":""QID16_76""}","{""ImportId"":""QID16_77""}","{""ImportId"":""QID16_78""}","{""ImportId"":""QID16_79""}","{""ImportId"":""QID16_80""}","{""ImportId"":""QID16_81""}","{""ImportId"":""QID16_82""}","{""ImportId"":""QID16_83""}","{""ImportId"":""QID16_84""}","{""ImportId"":""QID16_85""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_50""}","{""ImportId"":""QID17_51""}","{""ImportId"":""QID17_52""}","{""ImportId"":""QID17_53""}","{""ImportId"":""QID17_54""}","{""ImportId"":""QID17_55""}","{""ImportId"":""QID17_56""}","{""ImportId"":""QID17_57""}","{""ImportId"":""QID17_58""}","{""ImportId"":""QID17_59""}","{""ImportId"":""QID17_60""}","{""ImportId"":""QID17_61""}","{""ImportId"":""QID17_62""}","{""ImportId"":""QID17_63""}","{""ImportId"":""QID17_64""}","{""ImportId"":""QID17_65""}","{""ImportId"":""QID17_66""}","{""ImportId"":""QID17_67""}","{""ImportId"":""QID17_68""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_50""}","{""ImportId"":""QID18_51""}","{""ImportId"":""QID18_52""}","{""ImportId"":""QID18_53""}","{""ImportId"":""QID18_54""}","{""ImportId"":""QID18_55""}","{""ImportId"":""QID18_56""}","{""ImportId"":""QID18_57""}","{""ImportId"":""QID18_58""}","{""ImportId"":""QID18_59""}","{""ImportId"":""QID18_60""}","{""ImportId"":""QID18_61""}","{""ImportId"":""QID18_62""}","{""ImportId"":""QID18_63""}","{""ImportId"":""QID18_64""}","{""ImportId"":""QID18_65""}","{""ImportId"":""QID18_66""}","{""ImportId"":""QID18_67""}","{""ImportId"":""QID18_68""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}"
1/31/23 17:11,1/31/23 17:12,1,100,54,1,1/31/23 17:12,R_3pgJEAy689GGk6L,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/23 17:27,1/31/23 17:31,0,100,281,1,1/31/23 17:31,R_21hv3XgQ6SsvwWv,anonymous,EN,"1,2,3,4,5,6,7",26,Woman,,Portugal,"I felt that excitement with a xbox, when I bought it. I was playing Destiny for the first time in a console, it was a lot of mixed feelings because I'm used to a mouse and a keyboard. But that moment I decided to learn how to play with a controller. It was hard, but I learned it in the hard way. ",5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,4,5,5,5,5,4,5,6,5,6,5,6,6,6,5,5,6,5,5,5,5,6,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,602e83c1e13176a0fcd37c24,
1/31/23 17:25,1/31/23 17:32,0,100,368,1,1/31/23 17:32,R_vNSVo71pnrpqL4J,anonymous,EN,"1,2,3,4,5,6,7",20,Man,,Poland,"It was fifa 23, i was playing division rivals which is sort of competetive mode, i felt kinda relaxed and honestly this game was pretty enjoyable, even tho it's known for its annoying side.",1,5,6,3,3,1,5,6,2,2,5,5,7,6,5,7,2,4,2,2,5,3,4,7,2,5,3,5,5,6,2,6,3,2,6,7,6,7,2,2,4,5,7,4,6,6,7,4,2,3,6,6,3,5,3,5,5,4,5,5,2,7,1,5,7,2,5,3,2,1,6,5,7,1,6,2,5,5,5efb581068397909b01c7603,
1/31/23 17:28,1/31/23 17:33,0,100,335,1,1/31/23 17:33,R_3CTQPv9NS9gLb4r,anonymous,EN,"1,2,3,4,5,6,7",23,Woman,,United States of America,"I recently played Counter Strike Global Offensive. In the game, you shoot at the opposing team. Emotions that accompany are joy, but also anger, excitement and sadness. Depending on the outcome of the game.",2,6,5,3,6,6,4,6,1,6,5,3,4,7,7,2,4,6,1,5,2,3,5,4,3,2,2,6,4,4,2,4,3,3,7,5,2,3,1,2,3,4,3,6,4,3,3,3,5,4,3,2,7,2,4,4,3,2,5,4,2,4,3,5,3,2,3,3,7,6,3,3,6,3,5,5,4,4,5fa1cb2d686bcf2116a460d0,
1/31/23 17:25,1/31/23 17:34,0,100,499,1,1/31/23 17:34,R_1gMwPX5NBKNBx1C,anonymous,EN,"1,2,3,4,5,6,7",37,Man,,Spain,"Game Days Gone. It is about a zombie apocalypse and you play with a character moves along the map riding a bike, killing zombies and bad people.",4,4,4,4,4,4,7,1,1,1,1,1,4,4,4,4,6,6,4,2,1,1,1,1,1,1,7,4,1,7,1,1,7,7,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,4,4,7,4,7,4,1,1,4,4,4,4,4,4,4,1,1,1,6,1,4,4,4,4,4,4,4,4,5e9324e0019f08188c80f45a,
1/31/23 17:27,1/31/23 17:34,0,100,429,1,1/31/23 17:34,R_2dzjYUBncA64reQ,anonymous,EN,"1,2,3,4,5,6,7",30,Woman,,Chile,"The last thing I played was Starcraft 2, I was playing co-op missions with another player to level up my account. I felt confident because I know the missions well and the characters I use.",5,2,4,1,2,1,5,3,3,2,6,6,5,5,3,6,2,4,2,2,2,2,3,3,3,3,7,7,5,6,3,5,1,7,6,5,3,3,5,1,4,2,1,2,6,6,4,7,3,4,5,6,6,7,3,5,1,5,6,6,1,1,2,7,7,3,2,2,3,5,4,4,2,3,7,1,4,2,5ee19b037210cf1c44c6ad81,
1/31/23 17:27,1/31/23 17:34,0,100,411,1,1/31/23 17:34,R_ugeBI7Agy8i2Dyp,anonymous,EN,"1,2,3,4,5,6,7",27,Man,,Portugal,"The last time I played a video game for at least 20 minuts (it was way more than that, to be honest), was today, 31th of january 2023. The name of the game is World of Warcraft and I did all sorts of things. I completed dungeons with more real life players, I gathered herbs and ores so that I could sell them in the auction house for in game currency called Gold. I felt great and rewarded since the current itineration of the game is really fun (the expansion - WoW Dragonflight).",5,2,3,2,3,1,5,5,1,1,2,1,6,7,1,1,1,7,2,2,5,3,5,5,6,1,7,7,7,7,5,7,2,7,6,4,4,2,5,2,6,3,3,1,6,6,5,7,3,2,6,6,7,7,5,6,2,5,7,7,1,1,3,6,7,2,2,5,2,3,7,7,2,6,6,1,6,1,5c5226296021330001f992df,
1/31/23 17:28,1/31/23 17:35,0,100,415,1,1/31/23 17:35,R_1NeSTgB2HpGVbzC,anonymous,EN,"1,2,3,4,5,6,7",25,Man,,Italy,"i played two games of league of legends this afternoon ,at first i was a bit annoyed because we lost and our team was flaming eachother then i clamed myself a bit because we won the second game",2,6,5,6,6,3,4,2,2,5,4,5,5,4,5,3,5,3,4,5,2,3,2,5,6,6,2,3,4,4,5,4,6,4,2,6,2,5,4,5,4,5,6,5,3,4,2,3,4,5,4,4,4,4,2,3,5,2,6,4,5,5,2,4,5,3,3,2,6,2,4,2,6,4,4,6,3,7,5bcd11401662020001fe82c1,
