StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,game,recall-pos-text,bang_1,bang_2,bang_3,bang_4,bang_5,bang_6,bang_7,bang_8,bang_9,bang_10,bang_11,bang_12,bang_13,bang_14,bang_15,bang_16,bang_17,bang_18,bang_19,bang_20,bang_21,bang_22,bang_23,bang_24,UMI_1,UMI_2,UMI_3,pxi_1,pxi_2,pxi_3,pxi_4,pxi_5,pxi_6,pxi_7,bpnsfs_1,bpnsfs_2,bpnsfs_3,bpnsfs_4,bpnsfs_5,bpnsfs_6,bpnsfs_7,bpnsfs_8,bpnsfs_9,bpnsfs_10,bpnsfs_11,bpnsfs_12,bpnsfs_13,bpnsfs_14,bpnsfs_15,bpnsfs_16,bpnsfs_17,bpnsfs_18,bpnsfs_19,bpnsfs_20,bpnsfs_21,bpnsfs_22,bpnsfs_23,bpnsfs_24,PROLIFIC_PID,Create New Field or Choose From Dropdown...
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Research study: Understanding Gaming Experiences



Research team: This study is run by researchers at Queen Mary University of London, University of York, Australian Catholic University, and Imperial College London: 

- Nick Ballou (n.b.ballou@qmul.ac.uk)

- Dr Alena Denisova (alena.denisova@york.ac.uk)

- Prof Richard Ryan (Richard.Ryan@acu.edu.au)

- Prof Sebastian Deterding (s.deterding@imperial.ac.uk)

 

Queen Mary Ethics of Research Committee Reference: QMERC20.565.DSEECS22.117

___________________________________________________________



Thank you for considering taking part in this study. Please take a moment to read the following. The participant compensation in this study accounts for the time required to review this information, so no need to rush.

 

Participation in this study is entirely optional. If you choose not to take part, simply close this page and there will be with no disadvantages and you will hear no more about it.

 

Study aim: We want to develop a new questionnaire for measuring positive and negative video gaming experiences.

 

Who can participate: To participate, you need to:- have regularly played a video game recently

- be 18+ years old

- be proficient in English

 

What to expect: You will be asked to recall your recent experiences with a game, and then will rate a series of 50 statements on a scale from ""strongly disagree"" to ""strongly agree"" with reference to that game. 

 

In total, the study will take approximately 10 minutes.

 

Risks: Participating in this study is not expected to lead to any disadvantages, risks, or discomfort.

 

Confidentiality: We do not collect any personally identifying data. Your Prolific ID serves as a pseudonym that you can use to request access to your data. Prolific IDs will only be seen by the named researchers and not shared further.

 

How we will use your data: Your data will be used in research publications and/or conference presentations. Your data, which is non-identifying, will be stored indefinitely on the Open Science Framework, so that the data underlying the conclusions of any published work will remain available for inspection.

 

Legal basis: We will process your personal data for research purposes under Article 6 (1) (e) of the General Data Protection Regulation (GDPR): Processing is necessary for the performance of a task carried out in the public interest.

 

Your rights to your data: Under the GDPR, you have a general right of access to your data, a right to rectification, erasure, restriction, objection or portability. You also have a right to withdrawal.

 

Withdrawal: You are free to withdraw within 1 month of data collection without any penalty or consequences. To do so, simply email the researcher with your Prolific ID. Your data will then be removed from the study. After 1 month, data will be anonymized and publicly shared, making withdrawal no longer be possible. 

 

Contact information: If you would like additional information about the study, or wish to remove your data after the study has ended, please contact the lead researcher Nick Ballou (n.b.ballou@qmul.ac.uk). If this is unsuccessful or not appropriate, please contact the Queen Mary Ethics of Research Committee: research-ethics@qmul.ac.uk.",What's one video game you've been playing recently?,"Please take a moment to think carefully about the above game.  

In the box below, please describe your experiences with that game in a couple sentences. For example: - What happened when you played most recently? - Why do you like the game? - What aspects could be improved?","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in [QID19-ChoiceTextEntryValue]. - I could play [QID19-ChoiceTextEntryValue] in the way I wanted.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in [QID19-ChoiceTextEntryValue]. - I could make choices regarding how to play [QID19-ChoiceTextEntryValue].","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in [QID19-ChoiceTextEntryValue]. - I was able to choose how I explored [QID19-ChoiceTextEntryValue].","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in [QID19-ChoiceTextEntryValue]. - I could direct my own play experience.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in [QID19-ChoiceTextEntryValue]. - I often felt forced to take certain actions in [QID19-ChoiceTextEntryValue].","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in [QID19-ChoiceTextEntryValue]. - Many activities in [QID19-ChoiceTextEntryValue] were boring.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in [QID19-ChoiceTextEntryValue]. - I often found myself wishing I could do something else within [QID19-ChoiceTextEntryValue].","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in [QID19-ChoiceTextEntryValue]. - At times, I found myself playing [QID19-ChoiceTextEntryValue] despite not really wanting to.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in [QID19-ChoiceTextEntryValue]. - I felt I was getting better at playing [QID19-ChoiceTextEntryValue].","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in [QID19-ChoiceTextEntryValue]. - I felt that I made progress while playing.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in [QID19-ChoiceTextEntryValue]. - I felt a sense of achievement while playing.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in [QID19-ChoiceTextEntryValue]. - I was able to fully use my abilities.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in [QID19-ChoiceTextEntryValue]. - I often felt that I lacked the skills necessary for [QID19-ChoiceTextEntryValue].","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in [QID19-ChoiceTextEntryValue]. - I kept failing to accomplish what I wanted to while playing.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in [QID19-ChoiceTextEntryValue]. - I felt disappointed with my performance in [QID19-ChoiceTextEntryValue].","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in [QID19-ChoiceTextEntryValue]. - I felt that it's too difficult to make progress in [QID19-ChoiceTextEntryValue].","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in [QID19-ChoiceTextEntryValue]. - I felt I formed relationships with other players and/or characters.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in [QID19-ChoiceTextEntryValue]. - I cared about other players and/or characters.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in [QID19-ChoiceTextEntryValue]. - Engaging with [QID19-ChoiceTextEntryValue], I felt a connection to others, virtual or real.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in [QID19-ChoiceTextEntryValue]. - I felt that other players and/or characters in [QID19-ChoiceTextEntryValue] cared about me.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in [QID19-ChoiceTextEntryValue]. - Interactions with other players and/or characters felt toxic to me.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in [QID19-ChoiceTextEntryValue]. - The community or virtual world in [QID19-ChoiceTextEntryValue] made me feel unwelcome.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in [QID19-ChoiceTextEntryValue]. - Others in [QID19-ChoiceTextEntryValue] were unfriendly towards me.","Please read each of the following items carefully, and choose from 1 to 7 to indicate the degree to which each statement characterizes your experiences in [QID19-ChoiceTextEntryValue]. - I found the community in and around [QID19-ChoiceTextEntryValue] off-putting.",UMI - I play [QID19-ChoiceTextEntryValue] because it is enjoyable.,UMI - I think playing [QID19-ChoiceTextEntryValue] is an interesting activity.,UMI - Playing [QID19-ChoiceTextEntryValue] is fun.,pxi - I felt capable while playing [QID19-ChoiceTextEntryValue],pxi - I felt I was good at playing [QID19-ChoiceTextEntryValue].,pxi - I felt a sense of mastery playing [QID19-ChoiceTextEntryValue].,pxi - I felt a sense of freedom about how I wanted to play [QID19-ChoiceTextEntryValue].,pxi - I felt free to play [QID19-ChoiceTextEntryValue] in my own way.,pxi - I felt like I had choices regarding how I wanted to play [QID19-ChoiceTextEntryValue].,pxi - I felt capable while playing [QID19-ChoiceTextEntryValue],"bpnsfs - When I play [QID19-ChoiceTextEntryValue], I feel a sense of choice and freedom in the things I undertake.","bpnsfs - When I play [QID19-ChoiceTextEntryValue], most of the things I do feel like “I have to”.","bpnsfs - When I play [QID19-ChoiceTextEntryValue], I feel that the people I care about also care about me.","bpnsfs - When I play [QID19-ChoiceTextEntryValue], I feel excluded from the group I want to belong to.","bpnsfs - When I play [QID19-ChoiceTextEntryValue], I feel confident that I can do things well.","bpnsfs - When I play [QID19-ChoiceTextEntryValue], I have serious doubts about whether I can do things well.","bpnsfs - When I play [QID19-ChoiceTextEntryValue], I feel that my decisions reflect what I really want.","bpnsfs - When I play [QID19-ChoiceTextEntryValue], I feel forced to do many things I wouldn’t choose to do.","bpnsfs - When I play [QID19-ChoiceTextEntryValue], I feel connected with people who care for me, and for whom I care.","bpnsfs - When I play [QID19-ChoiceTextEntryValue], I feel that people who are important to me are cold and distant towards me.","bpnsfs - When I play [QID19-ChoiceTextEntryValue], I feel capable at what I do.","bpnsfs - When I play [QID19-ChoiceTextEntryValue], I feel disappointed with many of my performances.","bpnsfs - When I play [QID19-ChoiceTextEntryValue], I feel my choices express who I really am.","bpnsfs - When I play [QID19-ChoiceTextEntryValue], I feel pressured to do too many things.","bpnsfs - When I play [QID19-ChoiceTextEntryValue], I feel close and connected with other people who are important to me.","bpnsfs - When I play [QID19-ChoiceTextEntryValue], I have the impression that people I spend time with dislike me.","bpnsfs - When I play [QID19-ChoiceTextEntryValue], I feel competent to achieve my goals.","bpnsfs - When I play [QID19-ChoiceTextEntryValue], I feel insecure about my abilities.","bpnsfs - When I play [QID19-ChoiceTextEntryValue], I feel I have been doing what really interests me.","bpnsfs - When I play [QID19-ChoiceTextEntryValue], my activities feel like a chain of obligations.","bpnsfs - When I play [QID19-ChoiceTextEntryValue], I experience a warm feeling with the people I spend time with.","bpnsfs - When I play [QID19-ChoiceTextEntryValue], I feel the relationships I have are just superficial.","bpnsfs - When I play [QID19-ChoiceTextEntryValue], I feel I can successfully complete difficult tasks.","bpnsfs - When I play [QID19-ChoiceTextEntryValue], I feel like a failure because of the mistakes I make.",PROLIFIC_PID,Create New Field or Choose From Dropdown...
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_86""}","{""ImportId"":""QID16_87""}","{""ImportId"":""QID16_88""}","{""ImportId"":""QID16_89""}","{""ImportId"":""QID16_90""}","{""ImportId"":""QID16_91""}","{""ImportId"":""QID16_92""}","{""ImportId"":""QID16_93""}","{""ImportId"":""QID16_94""}","{""ImportId"":""QID16_95""}","{""ImportId"":""QID16_96""}","{""ImportId"":""QID16_97""}","{""ImportId"":""QID16_98""}","{""ImportId"":""QID16_99""}","{""ImportId"":""QID16_100""}","{""ImportId"":""QID16_101""}","{""ImportId"":""QID16_102""}","{""ImportId"":""QID16_103""}","{""ImportId"":""QID16_104""}","{""ImportId"":""QID16_105""}","{""ImportId"":""QID16_106""}","{""ImportId"":""QID16_107""}","{""ImportId"":""QID16_108""}","{""ImportId"":""QID20_16""}","{""ImportId"":""QID20_17""}","{""ImportId"":""QID20_18""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID25_2""}","{""ImportId"":""QID25_3""}","{""ImportId"":""QID25_4""}","{""ImportId"":""QID25_5""}","{""ImportId"":""QID25_6""}","{""ImportId"":""QID25_8""}","{""ImportId"":""QID1212046012_1""}","{""ImportId"":""QID1212046012_69""}","{""ImportId"":""QID1212046012_70""}","{""ImportId"":""QID1212046012_71""}","{""ImportId"":""QID1212046012_72""}","{""ImportId"":""QID1212046012_73""}","{""ImportId"":""QID1212046012_74""}","{""ImportId"":""QID1212046012_75""}","{""ImportId"":""QID1212046012_76""}","{""ImportId"":""QID1212046012_77""}","{""ImportId"":""QID1212046012_78""}","{""ImportId"":""QID1212046012_79""}","{""ImportId"":""QID1212046012_80""}","{""ImportId"":""QID1212046012_81""}","{""ImportId"":""QID1212046012_82""}","{""ImportId"":""QID1212046012_83""}","{""ImportId"":""QID1212046012_25""}","{""ImportId"":""QID1212046012_84""}","{""ImportId"":""QID1212046012_85""}","{""ImportId"":""QID1212046012_86""}","{""ImportId"":""QID1212046012_87""}","{""ImportId"":""QID1212046012_88""}","{""ImportId"":""QID1212046012_89""}","{""ImportId"":""QID1212046012_90""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}"
2023-04-18 14:52:33,2023-04-18 14:59:30,IP Address,100,416,True,2023-04-18 14:59:30,R_3lA2HtXbMnFEKO0,anonymous,EN,"I have read the information above, or it has been read to me.,I understand that my participation is voluntary and that I am free to stop taking part in the study at any time without giving any reason and without my rights being affected.,I understand that my data will be handled in accordance with the provisions of the GDPR and Queen Mary Data Protection guidelines.,I understand that my non-identifiable data will be stored indefinitely on the Open Science Framework for the purpose of sharing with other researchers.,I understand that I can access the information I have provided and request destruction of that information within 1 month of today. I understand that following this I will not be able to withdraw the information I provided.,I confirm that I am at least 18 years old and have played one or more video games recently.,I agree to take part in the above study.","Call of duty modern warfare 2 ",I really like how relaxing it's just casual shooting. I play with friends so it's even more fun. Developers could add more maps and nerf some sniper rifles to make it better.,7 - Strongly agree,7 - Strongly agree,5,6,2,1 - Strongly disagree,1 - Strongly disagree,2,7 - Strongly agree,7 - Strongly agree,7 - Strongly agree,6,6,1 - Strongly disagree,4 - Neither agree nor disagree,1 - Strongly disagree,5,5,6,1 - Strongly disagree,7 - Strongly agree,3,7 - Strongly agree,4 - Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,"+1
(slightly agree)","-2
(disagree)","+1
(slightly agree)","+1
(slightly agree)","+2
(agree)","+1
(slightly agree)",,4,1 - not at all true,4,1 - not at all true,4,4,3,1 - not at all true,5 - completely true,1 - not at all true,3,4,3,1 - not at all true,5 - completely true,1 - not at all true,4,5 - completely true,3,1 - not at all true,5 - completely true,1 - not at all true,4,5 - completely true,603e1d3cab9d37d640f46a0c,
2023-04-18 14:55:39,2023-04-18 15:00:55,IP Address,100,315,True,2023-04-18 15:00:55,R_3hiMFLL6HVNfXtC,anonymous,EN,"I have read the information above, or it has been read to me.,I understand that my participation is voluntary and that I am free to stop taking part in the study at any time without giving any reason and without my rights being affected.,I understand that my data will be handled in accordance with the provisions of the GDPR and Queen Mary Data Protection guidelines.,I understand that my non-identifiable data will be stored indefinitely on the Open Science Framework for the purpose of sharing with other researchers.,I understand that I can access the information I have provided and request destruction of that information within 1 month of today. I understand that following this I will not be able to withdraw the information I provided.,I confirm that I am at least 18 years old and have played one or more video games recently.,I agree to take part in the above study.",Diablo 3,"Jugué online y mejore la construcción y estadísticas de mi personaje.
Me gusta este juego porque es de rol,complejo y rico en opciones.
Se podría mejorar añadiendo la opción de poner la cámara en perspectiva normal.",5,6,6,6,5,2,5,3,6,6,6,5,3,5,3,2,4 - Neither agree nor disagree,3,5,3,3,5,4 - Neither agree nor disagree,3,Strongly Agree,Strongly Agree,Strongly Agree,"+2
(agree)","+2
(agree)","+2
(agree)","+2
(agree)","+2
(agree)","+2
(agree)",,4,2,3,2,4,4,4,2,3,2,4,3,4,2,4,2,4,2,5 - completely true,2,4,3,4,4,5eb40f1f0d916d20d9db9144,
2023-04-18 14:54:06,2023-04-18 15:01:43,IP Address,100,457,True,2023-04-18 15:01:44,R_cLOhb06P4GyiHoR,anonymous,EN,"I have read the information above, or it has been read to me.,I understand that my participation is voluntary and that I am free to stop taking part in the study at any time without giving any reason and without my rights being affected.,I understand that my data will be handled in accordance with the provisions of the GDPR and Queen Mary Data Protection guidelines.,I understand that my non-identifiable data will be stored indefinitely on the Open Science Framework for the purpose of sharing with other researchers.,I understand that I can access the information I have provided and request destruction of that information within 1 month of today. I understand that following this I will not be able to withdraw the information I provided.,I confirm that I am at least 18 years old and have played one or more video games recently.,I agree to take part in the above study.",Disney Mirrorverse,"I spent all the energy the game gives you into an event.
It's fun to have a leaderboard and sped resources.
It's quite expensive if you decide to spend money so im opting out.",3,4 - Neither agree nor disagree,2,4 - Neither agree nor disagree,7 - Strongly agree,6,5,6,4 - Neither agree nor disagree,6,3,4 - Neither agree nor disagree,3,4 - Neither agree nor disagree,3,5,1 - Strongly disagree,4 - Neither agree nor disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,5,Somewhat agree,Somewhat agree,Somewhat agree,"+1
(slightly agree)","0
(neutral)","-3
(strongly disagree)","-1
(slightly disagree)","-1
(slightly disagree)","-1
(slightly disagree)",,1 - not at all true,4,1 - not at all true,1 - not at all true,3,1 - not at all true,1 - not at all true,3,1 - not at all true,1 - not at all true,3,4,1 - not at all true,1 - not at all true,1 - not at all true,1 - not at all true,3,1 - not at all true,2,4,1 - not at all true,1 - not at all true,1 - not at all true,1 - not at all true,60ceab9344ca679de3297af5,
2023-04-18 14:53:31,2023-04-18 15:03:24,IP Address,100,592,True,2023-04-18 15:03:25,R_1kHdskQuj416Iik,anonymous,EN,"I have read the information above, or it has been read to me.,I understand that my participation is voluntary and that I am free to stop taking part in the study at any time without giving any reason and without my rights being affected.,I understand that my data will be handled in accordance with the provisions of the GDPR and Queen Mary Data Protection guidelines.,I understand that my non-identifiable data will be stored indefinitely on the Open Science Framework for the purpose of sharing with other researchers.,I understand that I can access the information I have provided and request destruction of that information within 1 month of today. I understand that following this I will not be able to withdraw the information I provided.,I confirm that I am at least 18 years old and have played one or more video games recently.,I agree to take part in the above study.",CS:GO,"I recently moved up ranks and it's been quite challenging.
I really like the game because it's very competitive and can be played with friends.
One aspect that should be changed is the game's anti-cheat, since many players play with cheats.",5,6,2,6,5,1 - Strongly disagree,4 - Neither agree nor disagree,1 - Strongly disagree,7 - Strongly agree,7 - Strongly agree,7 - Strongly agree,7 - Strongly agree,2,1 - Strongly disagree,1 - Strongly disagree,3,7 - Strongly agree,7 - Strongly agree,5,5,6,1 - Strongly disagree,5,7 - Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,"+3
(strongly agree)","+2
(agree)","+2
(agree)","+3
(strongly agree)","+3
(strongly agree)","+2
(agree)",,4,1 - not at all true,5 - completely true,1 - not at all true,5 - completely true,1 - not at all true,4,1 - not at all true,4,1 - not at all true,5 - completely true,1 - not at all true,4,3,3,1 - not at all true,5 - completely true,1 - not at all true,1 - not at all true,1 - not at all true,4,2,4,1 - not at all true,6053a67da2a8ffd85c9ac69f,
2023-04-18 14:52:29,2023-04-18 15:03:43,IP Address,100,674,True,2023-04-18 15:03:44,R_217CJWnz6cyXA0x,anonymous,EN,"I have read the information above, or it has been read to me.,I understand that my participation is voluntary and that I am free to stop taking part in the study at any time without giving any reason and without my rights being affected.,I understand that my data will be handled in accordance with the provisions of the GDPR and Queen Mary Data Protection guidelines.,I understand that my non-identifiable data will be stored indefinitely on the Open Science Framework for the purpose of sharing with other researchers.,I understand that I can access the information I have provided and request destruction of that information within 1 month of today. I understand that following this I will not be able to withdraw the information I provided.,I confirm that I am at least 18 years old and have played one or more video games recently.,I agree to take part in the above study.",Ori and the blind forest,"I love the visuals and all the ambience of the game, it's also very similar to Hollow Knight which I also like. The game is a little easier when it comes to killing the monsters and the background story is told to the player while you progress. 
There are some aspects that could be different, but I wouldn't call it ""improvment"" because that's how the game is supposed to be, but sometimes the fact that you have to constantly go back and forth to solve the previous puzzles you weren't able to, because you didn't learn certain skill, can easily become a little tedious and confusing once you get back to the game after a while.",5,2,5,6,5,3,3,1 - Strongly disagree,6,7 - Strongly agree,5,6,6,2,1 - Strongly disagree,5,3,6,4 - Neither agree nor disagree,6,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,4 - Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,"+1
(slightly agree)","-1
(slightly disagree)","-2
(disagree)","+2
(agree)","+1
(slightly agree)","+1
(slightly agree)",,3,2,3,1 - not at all true,2,4,3,1 - not at all true,3,1 - not at all true,4,4,4,2,3,1 - not at all true,3,3,4,2,3,1 - not at all true,2,3,608427499fc9b6c212890542,
2023-04-18 14:54:44,2023-04-18 15:04:22,IP Address,100,578,True,2023-04-18 15:04:23,R_2pMFN7rWoqp1Zr6,anonymous,EN,"I have read the information above, or it has been read to me.,I understand that my participation is voluntary and that I am free to stop taking part in the study at any time without giving any reason and without my rights being affected.,I understand that my data will be handled in accordance with the provisions of the GDPR and Queen Mary Data Protection guidelines.,I understand that my non-identifiable data will be stored indefinitely on the Open Science Framework for the purpose of sharing with other researchers.,I understand that I can access the information I have provided and request destruction of that information within 1 month of today. I understand that following this I will not be able to withdraw the information I provided.,I confirm that I am at least 18 years old and have played one or more video games recently.,I agree to take part in the above study.",Deep Rock Galactic,"'-I have been grinding promotions for the overclocks and just playing for fun

-i like the replayability of it and the gameplay in general, the guns feels great and it runs great

-the progresion, the game is great 9/10 but it lacks things to do or grind towards when you max out, the end game basically",6,7 - Strongly agree,7 - Strongly agree,6,3,2,5,4 - Neither agree nor disagree,7 - Strongly agree,5,6,6,2,2,2,2,7 - Strongly agree,7 - Strongly agree,7 - Strongly agree,3,1 - Strongly disagree,1 - Strongly disagree,2,1 - Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,"+3
(strongly agree)","+3
(strongly agree)","+3
(strongly agree)","+2
(agree)","+2
(agree)","+2
(agree)",,5 - completely true,2,4,1 - not at all true,5 - completely true,2,5 - completely true,2,4,1 - not at all true,5 - completely true,2,5 - completely true,2,4,1 - not at all true,5 - completely true,1 - not at all true,5 - completely true,2,5 - completely true,3,5 - completely true,2,60f3103aaa4f64f02e5c5829,
2023-04-18 15:00:12,2023-04-18 15:07:45,IP Address,100,453,True,2023-04-18 15:07:46,R_1nU53hrSL7tTEoq,anonymous,EN,"I have read the information above, or it has been read to me.,I understand that my participation is voluntary and that I am free to stop taking part in the study at any time without giving any reason and without my rights being affected.,I understand that my data will be handled in accordance with the provisions of the GDPR and Queen Mary Data Protection guidelines.,I understand that my non-identifiable data will be stored indefinitely on the Open Science Framework for the purpose of sharing with other researchers.,I understand that I can access the information I have provided and request destruction of that information within 1 month of today. I understand that following this I will not be able to withdraw the information I provided.,I confirm that I am at least 18 years old and have played one or more video games recently.,I agree to take part in the above study.",The Sims 4,"I've been playing The Sims franchise since I was young. It's a very good game of life simulation where we can play our ideal life or some challenges. Mostly I like to build the houses and community building of the game, making that the most exciting part for me. The last time I built a real life floorplan that I found online in The Sims, which is a nice challenge. I think the game play aspect of it is improving but still has some space for improvement.",6,7 - Strongly agree,7 - Strongly agree,7 - Strongly agree,2,1 - Strongly disagree,6,2,6,6,4 - Neither agree nor disagree,4 - Neither agree nor disagree,3,2,2,2,1 - Strongly disagree,2,3,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,2,Agree,Agree,Agree,"+3
(strongly agree)","+3
(strongly agree)","+2
(agree)","+3
(strongly agree)","+3
(strongly agree)","+2
(agree)",,3,2,2,1 - not at all true,4,1 - not at all true,4,2,3,1 - not at all true,5 - completely true,2,4,2,3,1 - not at all true,4,1 - not at all true,3,2,3,3,4,1 - not at all true,5ed65f072514f607cdf04655,
2023-04-18 15:00:10,2023-04-18 15:07:58,IP Address,100,468,True,2023-04-18 15:07:59,R_V3HPdPiPeqPhaRr,anonymous,EN,"I have read the information above, or it has been read to me.,I understand that my participation is voluntary and that I am free to stop taking part in the study at any time without giving any reason and without my rights being affected.,I understand that my data will be handled in accordance with the provisions of the GDPR and Queen Mary Data Protection guidelines.,I understand that my non-identifiable data will be stored indefinitely on the Open Science Framework for the purpose of sharing with other researchers.,I understand that I can access the information I have provided and request destruction of that information within 1 month of today. I understand that following this I will not be able to withdraw the information I provided.,I confirm that I am at least 18 years old and have played one or more video games recently.,I agree to take part in the above study.",League of Legends,"Last time I've played League of Legends I experienced both negative and positive emotions. One game was lost, the other one wast lost. I like that game because I can choose between a lot of champions, I can have fun with friends and also play competitively. The aspect that could be improved is team matchmaking.",5,5,5,4 - Neither agree nor disagree,5,2,4 - Neither agree nor disagree,6,7 - Strongly agree,7 - Strongly agree,7 - Strongly agree,6,5,3,4 - Neither agree nor disagree,3,5,5,5,5,5,1 - Strongly disagree,5,4 - Neither agree nor disagree,Agree,Strongly Agree,Agree,"+1
(slightly agree)","+1
(slightly agree)","+2
(agree)","+1
(slightly agree)","+1
(slightly agree)","+1
(slightly agree)",,3,2,4,1 - not at all true,4,2,2,3,4,1 - not at all true,3,2,2,2,4,2,4,2,4,2,4,1 - not at all true,3,2,5f52c76d5e8dec5c3649d640,
