randomID,wave,country,timeZone,age,years_over18,gender,employment,eduLevel,RecordedDate,duration,confounds,extraversion,agreeableness,conscientiousness,negEmotionality,openmindedness,igd,autoSatGen,autoFrusGen,compSatGen,compFrusGen,relSatGen,relFrusGen,needSatGen,needFrusGen,autoSatGames,autoFrusGames,compSatGames,compFrusGames,relSatGames,relFrusGames,needSatGames,needFrusGames,negAffect,posAffect,dep,genWb,playtimePrevDay,playtimePrevWeek,playtimePrev2Weeks,playtimeNextDay,playtimeNextWeek,playtimeNext2Weeks,playtimeWholeStudy,playtimeHomePrevDay,playtimeHomePrevWeek,playtimeHomePrev2Weeks,playtimeHomeNextDay,playtimeHomeNextWeek,playtimeHomeNext2Weeks,playtimeHomeWholeStudy,srPlayDay,srPlayWeek,srPlay2Weeks,displacement,isDropped,isInactive,isUntrustworthy,isCareless,failedAttentionCheck,otherPeopleShare,xboxShare,xboxShareWholeStudy,bfi_1,bfi_2,bfi_3,bfi_4,bfi_5,bfi_6,bfi_7,bfi_8,bfi_9,bfi_10,bfi_11,bfi_12,bfi_13,bfi_14,bfi_15,igd_1,igd_2,igd_3,igd_4,igd_5,igd_6,igd_7,igd_8,igd_9,bpnsfs_1,bpnsfs_2,bpnsfs_3,bpnsfs_4,bpnsfs_5,bpnsfs_6,bpnsfs_7,bpnsfs_8,bpnsfs_9,bpnsfs_10,bpnsfs_11,bpnsfs_12,bpnsfs_13,bpnsfs_14,bpnsfs_15,bpnsfs_16,bpnsfs_17,bpnsfs_18,bpnsfs_19,bpnsfs_20,bpnsfs_21,bpnsfs_22,bpnsfs_23,bpnsfs_24,bang_1,bang_2,bang_3,bang_4,bang_5,bang_6,bang_7,bang_8,bang_9,bang_10,bang_11,bang_12,bang_13,bang_14,bang_15,bang_16,bang_17,bang_18,bang_19,bang_20,bang_21,bang_22,bang_23,bang_24,dep_1,dep_2,dep_3,dep_4,dep_5,dep_6,dep_7,dep_8,wemwbs_1,wemwbs_2,wemwbs_3,wemwbs_4,wemwbs_5,wemwbs_6,wemwbs_7,wemwbs_8,wemwbs_9,wemwbs_10,wemwbs_11,wemwbs_12,wemwbs_13,wemwbs_14,displace_1,displace_2,displace_3,displace_4,affect_1,affect_2,affect_3,affect_4,affect_5,affect_6,affect_7,affect_8,affect_9,affect_10,playtimePrevWeek_lag1,playtimePrev2Weeks_lag1,playtimeHomePrevWeek_lag1,playtimeHomePrev2Weeks_lag1
4569842,1,United Kingdom,British Time (UK),33,15,Man,Working full-time,University Bachelors Degree,2023-02-09T11:41:50Z,883,"Gallstones, pain waking me up in the middle of the night. I don't normally play games late, but if I am in pain, then it helps distract me until the painkillers kick in.

It helps me a lot to keep my mind occupied.",4.333333333333333,3.3333333333333335,3.3333333333333335,3,3,1.4444444444444444,4.25,3.25,3.25,3,4,1.5,3.8333333333333335,2.5833333333333335,5.666666666666667,1.6666666666666667,5.333333333333333,2,2.3333333333333335,3,4.444444444444445,2.2222222222222223,1,3.2,2.5636363636363635,3.7857142857142856,NA,NA,NA,4.333333333333333,4.488095238095238,5.863095238095239,0,NA,NA,NA,4.5,4.690476190476191,6.273809523809524,0,210,600,1500,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,82,100,5,2,4,4,1,5,4,4,4,4,3,4,2,1,4,2,2,1,1,1,1,1,3,1,5,3,4,1,2,3,4,3,4,1,3,3,4,4,4,2,4,4,4,3,4,2,4,2,6,6,5,5,2,2,1,2,6,5,5,4,2,2,2,2,2,6,3,2,1,4,4,2,2,1,2,2,2,2,2,2,4,4,2,4,4,4,3,5,4,4,4,3,4,4,2,2,2,2,3,4,4,2,3,1,1,1,1,1,NA,NA,NA,NA
1859844,3,United Kingdom,NA,34,16,Woman,Unemployed disabled,Some University but no degree,2023-03-16T18:44:56Z,451,"Bad sleep past few weeks leaves me tired and unmotivated.

Some disappointing health news today left me pretty frustrated and unable to concentrate",NA,NA,NA,NA,NA,NA,3,2.25,1.5,4,4.75,1.75,3.0833333333333335,2.6666666666666665,5.333333333333333,4.333333333333333,4.666666666666667,1,1,3,3.6666666666666665,2.7777777777777772,1.6,1.4,3.172727272727273,2.7142857142857144,0.4166666666666667,0.20238095238095238,0.1369047619047619,0,0,1.2442768543785663,0,1.5833333333333333,0.3690476190476191,0.22023809523809526,0,0,1.2561845695857108,0,60,120,240,2.5,FALSE,FALSE,FALSE,FALSE,FALSE,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,4,1,2,5,4,1,5,1,1,3,4,1,5,3,1,4,1,2,5,2,2,4,6,5,7,5,1,6,6,1,4,5,5,6,1,1,1,1,1,4,1,1,4,4,1,4,3,2,3,3,3,3,3,3,1,3,3,2,3,3,3,2,2,3,3,2,5,3,4,2,2,2,1,2,1,2,1,1,1,4,1,1,0.07142857142857144,2.840069461672042,0.07142857142857144,2.8519771768791866
5858435,5,United Kingdom,NA,37,19,Man,Working full-time,University Bachelors Degree,2023-04-16T17:41:22Z,531,I have been suffering from some anxiety for the last week caused by a family issue and as a result I've been tired and not gaming so much.,NA,NA,NA,NA,NA,NA,2.25,3.25,4,2.75,3,2.5,3.0833333333333335,2.8333333333333335,5.666666666666667,2.6666666666666665,5.333333333333333,1.6666666666666667,5,1.6666666666666667,5.333333333333333,2,2,1.8,2.963636363636364,2.642857142857143,1.7560975609756098,1.8937965260545906,2.554204911932523,4.916666666666667,1.515527950310559,2.6079027355623103,0,2.0069686411149825,1.9890818858560795,2.768543785661126,4.916666666666667,1.577639751552795,3.1489361702127656,0,120,600,1440,2,FALSE,FALSE,FALSE,FALSE,FALSE,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,2,4,2,2,3,3,3,4,3,2,3,3,2,4,2,3,3,3,3,4,4,6,6,6,5,2,2,4,2,5,5,6,2,2,1,2,2,4,5,5,6,1,2,2,2,2,2,2,4,2,3,4,3,3,2,3,2,3,3,3,4,3,2,2,2,3,2,1,1,4,2,2,2,2,2,1,3,3,2,1,1,3.214285714285714,3.840238154304143,3.547619047619047,5.031009675018607
8712312,1,United Kingdom,British Time (UK),33,15,Man,Working full-time,Completed Secondary School,2023-02-09T11:41:52Z,1072,No change in last two weeks,4.666666666666667,4.333333333333333,4,4.666666666666667,3,1,4.5,1.75,4.5,2.5,5,1,4.666666666666667,1.75,7,2,6.666666666666667,1,7,1,6.888888888888889,1.3333333333333333,1,3.6,1.1090909090909087,4.642857142857143,NA,NA,NA,8.083333333333334,6.785714285714286,6.267857142857142,0,NA,NA,NA,8.083333333333334,7.428571428571428,7.089285714285714,0,420,2940,5880,2.5,FALSE,FALSE,FALSE,TRUE,FALSE,0,95,90,5,4,4,5,1,5,4,3,4,4,4,5,5,5,4,1,1,1,1,1,1,1,1,1,4,1,5,1,5,4,5,4,5,1,4,4,5,1,5,1,5,1,4,1,5,1,4,1,7,7,7,7,1,1,4,1,6,7,7,7,1,1,1,1,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,5,5,5,5,5,5,5,4,4,5,4,1,1,4,4,5,4,4,3,2,1,1,1,1,1,NA,NA,NA,NA
4906160,3,United States,NA,36,18,Man,Working full-time,Some University but no degree,2023-03-17T13:56:07Z,847,"Moved to working from home full-time, more time to spend in front of television/gaming.",NA,NA,NA,NA,NA,NA,2,3,3.5,1.5,4,1,3.1666666666666665,1.8333333333333333,5.333333333333333,5,4.666666666666667,1.3333333333333333,1,1.6666666666666667,3.6666666666666665,2.6666666666666665,1,3,2.3454545454545457,3.142857142857143,3.1480555555555556,2.009246031746032,1.5238095238095235,0.8333333333333334,1.1196029776674938,1.8992805755395683,0,3.2313888888888886,2.1640079365079363,1.6904761904761902,0.9166666666666666,1.1910669975186103,2.2565120317539074,0,360,1800,2700,4.75,FALSE,FALSE,FALSE,FALSE,FALSE,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,1,4,1,2,3,4,1,3,1,2,3,4,1,4,2,2,3,4,1,3,2,5,6,3,5,5,5,5,6,6,5,3,5,1,2,1,2,1,1,1,1,1,3,1,2,1,1,2,2,1,2,2,2,3,4,2,4,4,4,3,3,3,2,3,3,3,3,2,5,7,5,3,4,4,2,2,1,1,1,1,1,1.0502777777777779,1.6849417018109654,1.2288492063492065,1.8159265690895559
7273348,5,United Kingdom,NA,29,11,Non-binary,Working part-time,Completed Secondary School,2023-04-18T14:34:41Z,637,NA,NA,NA,NA,NA,NA,NA,2.5,3.25,2,3.25,3.25,2.5,2.5833333333333335,3,5,2.6666666666666665,5.333333333333333,1.3333333333333333,2,1.3333333333333333,4.111111111111111,1.7777777777777777,3.4,2.8,4.036363636363637,2.7142857142857144,0.5,2.26302729528536,3.4889605556933763,3.3777777777777778,0.5590062111801242,0.9787234042553191,0,0.6666666666666666,2.2868486352357325,3.7211610022326966,3.466666666666667,0.5714285714285714,1.0091185410334347,0,760,1495,2850,1,FALSE,FALSE,FALSE,FALSE,FALSE,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,1,3,2,3,4,3,3,2,3,2,3,4,4,2,4,3,3,3,2,1,4,6,5,5,4,4,1,3,4,5,6,5,3,1,1,2,1,2,5,3,1,1,2,1,6,5,4,4,5,4,4,4,4,3,3,4,2,2,4,1,3,3,1,3,2,4,3,1,1,1,1,2,3,4,2,3,4,4,5,3,1,4.714285714285714,1.5777722649466634,5.154761904761906,1.5956338377573804
53642,1,United Kingdom,British Time (UK),24,6,Man,Working full-time,Some University but no degree,2023-02-09T11:41:55Z,10512,"Yes, my grandfather passed away which has caused great sadness to me. Its also made me stressed as I've had to worry about my mums wellbeing aswell as my own.",4.333333333333333,3.6666666666666665,3.6666666666666665,4.333333333333333,3.6666666666666665,2.111111111111111,3,3.25,4.5,3.25,3.75,2.25,3.75,2.9166666666666665,6.666666666666667,6.333333333333333,7,3.3333333333333335,4.333333333333333,1.3333333333333333,6,3.6666666666666665,2.6,2.2,3.8363636363636364,2.5714285714285716,NA,NA,NA,0,1.380952380952381,0.7797619047619049,0,NA,NA,NA,0.25,2.1071428571428568,1.9404761904761902,0,0,120,120,4.25,FALSE,FALSE,FALSE,FALSE,FALSE,0,11,50,4,3,2,5,4,5,4,5,5,3,4,4,4,3,4,3,1,3,1,3,2,1,4,1,4,4,4,3,4,2,3,2,3,2,5,4,3,2,4,2,5,4,2,5,4,2,4,3,6,7,7,7,7,5,7,5,7,7,7,5,1,4,5,4,4,6,5,4,1,2,1,4,4,4,4,5,2,5,3,4,3,2,2,3,2,4,3,4,2,1,2,3,3,2,3,5,5,4,2,2,2,3,2,1,3,4,3,2,NA,NA,NA,NA
1008158,3,United States,NA,34,16,Man,Unemployed and looking for work,University Bachelors Degree,2023-03-18T14:02:24Z,933,"Yesterday was me and my girlfriends anniversary, and the day before that I went on a date. Otherwise not really. Still job searching.",NA,NA,NA,NA,NA,NA,3.5,2.5,4,3,4.75,1.75,4.083333333333333,2.4166666666666665,5.333333333333333,5.666666666666667,5.333333333333333,1.3333333333333333,3.3333333333333335,1,4.666666666666667,2.6666666666666665,1,3,2.0181818181818176,3.7142857142857144,0.6666666666666666,5.369047619047619,4.726190476190476,5.29,4.466501240694789,5.382287273629373,0,0.75,5.809523809523809,5.404761904761906,5.79,4.776178660049628,5.566856859340114,0,60,1440,4200,1,FALSE,FALSE,FALSE,FALSE,FALSE,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,2,4,2,4,3,5,2,4,2,4,2,5,2,3,4,3,2,4,1,5,4,6,5,6,5,5,5,7,1,5,6,5,6,1,2,1,4,1,6,5,4,1,1,1,1,1,1,1,1,1,1,2,2,2,4,4,5,3,5,5,3,4,3,3,4,4,3,1,1,1,1,3,4,4,2,2,1,1,1,1,1,4.083333333333333,5.406102704043662,5,5.805011163483006
830186,5,United States,NA,43,25,Man,Working full-time,University Bachelors Degree,2023-04-17T02:57:52Z,1138,NA,NA,NA,NA,NA,NA,NA,3.5,3,4.75,1.25,2.75,3.25,3.6666666666666665,2.5,7,3.6666666666666665,5.666666666666667,1.3333333333333333,2,1,4.888888888888889,2,1,4.4,1.1090909090909087,3.357142857142857,0,1.7985111662531017,1.857603572314562,1.381111111111111,0.7950310559006211,0.9908814589665653,0,0,1.7985111662531017,1.8635574299181346,1.5477777777777777,0.8198757763975154,1.0030395136778116,0,0,1020,1560,2,FALSE,FALSE,FALSE,FALSE,FALSE,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,4,5,1,4,2,2,3,5,2,3,2,3,2,4,1,3,4,3,4,5,1,7,7,7,7,4,3,4,2,7,7,3,7,1,1,2,1,1,4,4,1,1,1,1,4,1,1,1,1,1,1,1,1,4,4,3,5,2,4,3,4,2,3,3,4,3,3,1,1,3,3,5,5,5,4,3,1,1,1,1,1,1.9166666666666667,1.2800793847680476,1.9285714285714286,1.309848672785909
1605211,1,United Kingdom,British Time (UK),47,29,Man,NA,Some University but no degree,2023-02-09T11:41:57Z,559,No major events.,3,3.6666666666666665,2.6666666666666665,3,4.333333333333333,2.3333333333333335,3.5,3.5,2.25,4.5,3.25,2.75,3,3.5833333333333335,6.333333333333333,4.666666666666667,4.666666666666667,2,4.666666666666667,2,5.222222222222222,2.8888888888888893,1,1.8,3.4363636363636365,2.357142857142857,NA,NA,NA,0,6.666666666666667,5.476190476190476,0,NA,NA,NA,0,6.892857142857142,5.666666666666667,0,150,480,960,3.75,FALSE,FALSE,FALSE,FALSE,FALSE,0,70,85,2,4,1,3,4,2,4,4,3,5,5,3,3,3,4,3,3,2,3,2,1,2,4,1,2,4,5,4,3,4,3,2,2,2,2,5,4,3,3,2,2,4,5,5,3,3,2,5,5,7,7,7,6,4,4,5,5,5,4,4,1,1,4,2,5,1,5,4,4,1,1,5,3,3,4,3,4,3,3,3,2,2,2,3,2,4,2,2,2,2,2,3,3,2,4,3,4,4,1,3,3,1,1,1,1,1,1,1,NA,NA,NA,NA
