RecordedDate,age,gender,gender_5_TEXT,country,duration,condition,recallText,trust,trust_3_TEXT,PROLIFIC_PID,af01,af02,af03,af04,af05,af06,af07,af08,af09,af10,af11,af12,af13,af14,af15,af16,as01,as02,as03,as04,as05,as06,as07,as08,as09,as10,as11,as12,as13,as14,as15,cf01,cf02,cf03,cf04,cf05,cf06,cf07,cf08,cf09,cf10,cf11,cf12,cf13,cf14,cf15,cf16,cs01,cs02,cs03,cs04,cs05,cs06,cs07,cs08,cs09,cs10,cs11,cs12,cs13,cs14,cs15,rf01,rf02,rf03,rf04,rf05,rf06,rf07,rf08,rf09,rf10,rf11,rf12,rf13,rf14,rf15,rs01,rs02,rs03,rs04,rs05,rs06,rs07,rs08,rs09,rs10,rs11,rs12,rs13,rs14,rs15,wave,possibleCareless,cf08_dup,as07_dup,rs10_dup,cf01_dup
12/19/22 13:53,19,Woman,NA,Poland,414,negative experience,"My friend showed me a rythm game called OSU - it required quick reflexes, everything was happening to fast and i got overwhelmed very quickly",1,NA,60ff4810b3853015b1ca7c56,6,6,7,7,5,5,6,5,6,7,7,6,6,7,7,7,1,1,2,1,1,1,6,6,1,1,3,1,1,1,1,6,5,7,7,6,7,6,7,6,5,6,7,6,7,7,7,2,4,5,1,1,5,2,1,1,1,2,4,5,5,1,6,5,7,5,4,1,3,4,4,6,4,7,4,5,4,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,FALSE,6,5,NA,NA
12/19/22 13:58,34,Woman,NA,Spain,688,positive experience,It have a lot of things to be done but it wasn't to difficult. The progress and little acheiments are fluid and not frustrating.,1,NA,613c5c9300d4088d56204d89,7,1,1,4,5,1,1,5,7,1,1,1,4,1,4,2,6,6,5,7,7,7,7,7,7,4,7,4,4,4,7,1,5,1,1,1,5,2,4,1,1,1,1,1,1,2,1,7,7,1,7,4,7,7,6,7,5,5,6,7,7,4,5,4,1,1,1,1,1,1,4,1,1,4,1,1,1,7,7,7,7,7,7,5,4,7,7,1,6,7,5,7,1,FALSE,2,7,NA,NA
12/19/22 13:58,23,Man,NA,Poland,724,negative experience,"I played counterstrike. There was a lot of trolls in my match that were not focused on playing the game to win but to make my gameplay worse. They shot at me, they were blocking my way etc. One of the guys on the opposite team was a cheater so the opposite team won the match. The game creators (Valve) did not block the cheater during the game so he cheated during the whole game.",1,NA,5f120e2fe67ff7132e8676ca,5,5,5,5,5,7,6,5,2,4,5,5,5,5,5,6,1,3,3,2,3,2,3,3,3,2,3,2,2,1,2,2,6,2,5,5,6,5,5,4,7,2,3,5,6,6,5,2,1,2,2,2,2,2,2,2,4,2,2,3,3,2,7,6,5,7,6,6,7,7,7,6,7,6,6,5,6,2,1,1,1,1,2,1,1,2,1,2,1,1,1,2,1,FALSE,5,2,NA,NA
12/19/22 13:59,27,Non-binary,NA,Portugal,783,positive experience,"I've been playing Spiritfarer for a few days now and I'm enjoying it so so much. The story and the art are so charming, I love the characters and the concept too. I like finding out more about each character's past, and the whole plot around the protagonist. It makes me feel comfortable and keeps me busy and focused on the little tasks. It's definitely a story-heavy game, but that's just my kind of game.",1,NA,616c9718c50361a47cdf608d,2,1,1,3,6,1,1,6,5,2,3,2,2,1,1,5,7,7,5,5,7,7,5,4,6,5,7,4,4,4,7,1,1,1,2,1,2,1,5,4,2,1,1,3,2,2,2,7,6,3,4,6,6,6,5,6,6,6,5,7,7,4,4,7,1,1,1,2,1,1,1,1,1,1,1,5,1,7,4,6,7,4,4,5,6,5,5,6,3,5,5,4,1,FALSE,5,4,NA,NA
12/19/22 14:05,20,Man,NA,Poland,542,negative experience,"I was playing online game and I had terrible network issues. Because of that, my gaming experience was horrible, and so I was losing because of it. I felt anger.",1,NA,6082d3fa014ae6c6c2fad293,2,1,1,3,5,2,2,2,5,1,2,2,4,2,1,2,2,6,5,6,2,2,7,7,5,1,5,6,7,5,5,3,1,2,2,3,7,7,7,4,1,1,3,1,3,2,2,5,6,4,6,7,6,3,6,3,5,3,6,6,6,6,2,3,1,2,2,1,7,5,5,2,5,2,1,1,5,5,7,6,7,6,5,6,2,6,6,5,6,5,5,6,1,FALSE,2,6,NA,NA
12/19/22 14:34,21,Man,NA,Portugal,551,positive experience,Genshin Impact. I've been feeling so happy playing it. It is so non competitive.,1,NA,6117bea9da04c4ebc1c86a94,1,1,1,1,7,1,1,1,1,1,1,1,2,1,6,3,6,6,5,7,7,7,6,5,7,6,6,1,2,5,7,3,1,1,1,1,1,3,5,2,2,1,2,1,2,2,1,6,6,6,5,6,6,6,7,6,6,6,7,6,6,6,1,1,2,1,1,6,1,2,1,1,2,2,2,1,1,6,6,6,7,6,6,6,5,6,6,6,7,5,6,6,1,FALSE,2,6,NA,NA
12/19/22 14:35,24,Man,NA,United Kingdom of Great Britain and Northern Ireland,409,positive experience,"Played subnautica, very enjoyable",1,NA,6101e16e46ab830d098f1436,1,1,4,2,5,1,2,2,1,1,1,1,1,1,1,2,7,5,7,6,7,7,6,7,7,3,6,4,5,3,6,1,2,2,1,2,1,2,5,2,1,1,1,3,1,2,2,6,6,4,6,5,5,5,6,6,6,6,7,6,7,6,1,1,2,1,1,2,1,1,1,4,1,4,1,1,1,1,1,2,2,1,1,1,1,4,1,2,3,1,1,1,1,FALSE,5,6,NA,NA
12/19/22 14:35,20,Woman,NA,Czech Republic,586,positive experience,I played minecraft mini games with my frineds. I felt relaxed and unbothred,1,NA,60ab822a93ee05a2377736e2,1,2,2,1,1,5,2,1,3,3,1,2,2,1,4,1,5,5,2,5,5,5,5,1,4,1,5,1,6,6,2,2,6,2,2,1,1,7,4,2,5,1,1,1,1,6,1,4,4,5,3,6,4,6,6,6,6,5,6,7,6,3,1,6,2,2,1,6,1,1,1,1,1,1,5,1,1,4,6,7,6,6,2,6,5,6,4,7,6,6,6,5,1,FALSE,2,5,NA,NA
12/19/22 14:35,22,Man,NA,Portugal,645,negative experience,"I didn't like genshin impact
It has a good gameplay but it didn't convince me
When starting the game there are certain parts that one does not understand what to do in the game and the player is confused",1,NA,5d9e93d972e534001605f2dd,7,5,2,3,5,4,6,5,5,4,4,4,4,5,5,5,5,5,4,6,4,5,4,1,4,5,4,3,4,4,4,3,5,4,5,5,7,3,2,4,4,5,1,3,4,6,7,4,4,5,5,5,5,6,4,2,5,6,4,4,5,5,5,4,4,4,4,5,4,5,4,2,5,3,5,4,5,3,4,6,4,5,5,4,4,5,3,4,3,5,4,4,1,FALSE,6,5,NA,NA
12/19/22 14:36,26,Man,NA,South Africa,540,positive experience,Gta 5 is an amazing game. I recently played this game a few hours ago and usually play it on a daily basis. The online side of the game is based on reality and making money in the game surely makes one feel like an upcoming businessman. I feel like a king pin when play GTA 5.,1,NA,60e758107f8031dce149e796,1,5,1,4,6,1,1,1,2,1,5,2,1,1,1,1,7,7,7,1,6,7,6,7,7,7,7,7,4,7,5,1,1,1,1,5,7,1,1,1,1,1,1,2,4,2,4,7,7,6,7,6,7,7,5,6,7,7,7,7,7,7,2,5,2,1,1,1,5,5,7,1,1,2,1,2,1,5,6,4,1,3,5,6,4,5,6,5,7,7,5,5,1,FALSE,4,7,NA,NA
