Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Video games,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
643ea09a1d03b6d3908c9195,608427499fc9b6c212890542,APPROVED,2023-04-18T13:52:26.708000Z,2023-04-18T14:03:46.979000Z,2023-04-18T14:20:19.707000,2023-04-18T14:03:49.445737Z,681,C1I6GZK1,84,3-6 hours,24,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Part-Time
643ea0a0e470bbcf5d2a5804,603e1d3cab9d37d640f46a0c,APPROVED,2023-04-18T13:52:32.014000Z,2023-04-18T13:59:31.896000Z,2023-04-18T14:20:24.760000,2023-04-18T13:59:32.332693Z,420,C1I6GZK1,89,10-12 hours,22,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
643ea0d864cffd40a7303773,6053a67da2a8ffd85c9ac69f,APPROVED,2023-04-18T13:53:28.865000Z,2023-04-18T14:03:26.895000Z,2023-04-18T14:20:24.908000,2023-04-18T14:03:27.388338Z,599,C1I6GZK1,99,6-9 hours,27,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
643ea0fd42e8719cde901cad,60ceab9344ca679de3297af5,APPROVED,2023-04-18T13:54:05.121000Z,2023-04-18T14:01:47.285000Z,2023-04-18T14:20:25.090000,2023-04-18T14:01:48.314356Z,463,C1I6GZK1,132,13 hours or more,30,Male,Other,Chile,Chile,Chile,Spanish,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
643ea1227cf1247315bbda76,60f3103aaa4f64f02e5c5829,APPROVED,2023-04-18T13:54:42.367000Z,2023-04-18T14:04:25.245000Z,2023-04-18T14:20:25.238000,2023-04-18T14:04:25.714241Z,583,C1I6GZK1,183,13 hours or more,25,Male,White,Spain,Spain,Spain,Spanish,No,Unemployed (and job seeking)
643ea13db48127cbbf7bf67d,5eb40f1f0d916d20d9db9144,APPROVED,2023-04-18T13:55:36.355000Z,2023-04-18T14:01:00.728000Z,2023-04-18T14:20:25.374000,2023-04-18T14:01:01.115912Z,325,C1I6GZK1,182,10-12 hours,23,Male,White,Spain,Spain,Spain,Spanish,DATA_EXPIRED,DATA_EXPIRED
643ea187651345bfec16f76b,5f31ef83efc0c913389d6554,APPROVED,2023-04-18T13:56:35.638000Z,2023-04-18T14:08:59.187000Z,2023-04-18T14:20:19.827000,2023-04-18T14:09:00.650507Z,744,C1I6GZK1,204,3-6 hours,29,Female,Black,South Africa,South Africa,South Africa,English,No,Other
643ea25f87dbf620672119e9,5f52c76d5e8dec5c3649d640,APPROVED,2023-04-18T14:00:08.370000Z,2023-04-18T14:08:00.622000Z,2023-04-18T14:20:19.945000,2023-04-18T14:08:09.701148Z,473,C1I6GZK1,26,13 hours or more,23,Female,White,Poland,Poland,Poland,Polish,Yes,Other
643ea269ae5db2ca90e12a0f,5ed65f072514f607cdf04655,APPROVED,2023-04-18T14:00:09.573000Z,2023-04-18T14:07:47.637000Z,2023-04-18T14:20:20.069000,2023-04-18T14:07:59.765379Z,459,C1I6GZK1,271,3-6 hours,25,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
643ea2b6567463570f671ff0,5f4b5dfa55620d00087a72bb,APPROVED,2023-04-18T14:01:26.112000Z,2023-04-18T14:13:45.194000Z,2023-04-18T14:20:20.196000,2023-04-18T14:13:52.392938Z,740,C1I6GZK1,38,3-6 hours,20,Female,White,Cyprus,Netherlands,Cyprus,Greek,Yes,Unemployed (and job seeking)
